start time,end time,data source
2026-04-08T00:01:00Z,2026-04-08T00:12:00Z,Fitbit App
2026-04-08T00:16:00Z,2026-04-08T01:01:00Z,Fitbit App
2026-04-08T01:11:00Z,2026-04-08T02:20:00Z,Fitbit App
2026-04-08T02:40:00Z,2026-04-08T04:00:00Z,Fitbit App
2026-04-08T04:00:00Z,2026-04-08T08:12:00Z,Fitbit App
2026-04-08T08:13:00Z,2026-04-08T08:34:00Z,Fitbit App
2026-04-08T15:26:00Z,2026-04-08T16:44:00Z,Fitbit App
2026-04-08T16:50:00Z,2026-04-08T18:38:00Z,Fitbit App
2026-04-08T18:40:00Z,2026-04-08T18:53:00Z,Fitbit App
2026-04-08T20:53:00Z,2026-04-08T21:14:00Z,Fitbit App
2026-04-08T21:23:00Z,2026-04-08T22:15:00Z,Fitbit App
2026-04-08T22:52:00Z,2026-04-08T23:06:00Z,Fitbit App
