timestamp,beats per minute,data source
2026-04-14T00:00:01Z,100.0,Inspire 3
2026-04-14T00:00:02Z,101.0,Inspire 3
2026-04-14T00:00:04Z,102.0,Inspire 3
2026-04-14T00:00:07Z,102.0,Inspire 3
2026-04-14T00:00:08Z,103.0,Inspire 3
2026-04-14T00:00:10Z,102.0,Inspire 3
2026-04-14T00:00:12Z,101.0,Inspire 3
2026-04-14T00:00:14Z,99.0,Inspire 3
2026-04-14T00:00:17Z,99.0,Inspire 3
2026-04-14T00:00:20Z,98.0,Inspire 3
2026-04-14T00:00:22Z,99.0,Inspire 3
2026-04-14T00:00:25Z,101.0,Inspire 3
2026-04-14T00:00:27Z,104.0,Inspire 3
2026-04-14T00:00:29Z,108.0,Inspire 3
2026-04-14T00:00:31Z,109.0,Inspire 3
2026-04-14T00:00:34Z,109.0,Inspire 3
2026-04-14T00:00:35Z,106.0,Inspire 3
2026-04-14T00:00:37Z,105.0,Inspire 3
2026-04-14T00:00:39Z,104.0,Inspire 3
2026-04-14T00:00:41Z,103.0,Inspire 3
2026-04-14T00:00:43Z,106.0,Inspire 3
2026-04-14T00:00:46Z,106.0,Inspire 3
2026-04-14T00:00:47Z,107.0,Inspire 3
2026-04-14T00:00:49Z,98.0,Inspire 3
2026-04-14T00:00:50Z,100.0,Inspire 3
2026-04-14T00:00:52Z,101.0,Inspire 3
2026-04-14T00:00:54Z,103.0,Inspire 3
2026-04-14T00:00:56Z,102.0,Inspire 3
2026-04-14T00:00:58Z,100.0,Inspire 3
2026-04-14T00:01:00Z,99.0,Inspire 3
2026-04-14T00:01:02Z,100.0,Inspire 3
2026-04-14T00:01:04Z,101.0,Inspire 3
2026-04-14T00:01:06Z,102.0,Inspire 3
2026-04-14T00:01:08Z,101.0,Inspire 3
2026-04-14T00:01:10Z,102.0,Inspire 3
2026-04-14T00:01:12Z,104.0,Inspire 3
2026-04-14T00:01:13Z,102.0,Inspire 3
2026-04-14T00:01:16Z,102.0,Inspire 3
2026-04-14T00:01:19Z,101.0,Inspire 3
2026-04-14T00:01:22Z,101.0,Inspire 3
2026-04-14T00:01:23Z,100.0,Inspire 3
2026-04-14T00:01:25Z,101.0,Inspire 3
2026-04-14T00:01:27Z,101.0,Inspire 3
2026-04-14T00:01:29Z,102.0,Inspire 3
2026-04-14T00:01:31Z,100.0,Inspire 3
2026-04-14T00:01:33Z,101.0,Inspire 3
2026-04-14T00:01:35Z,102.0,Inspire 3
2026-04-14T00:01:37Z,101.0,Inspire 3
2026-04-14T00:01:38Z,100.0,Inspire 3
2026-04-14T00:01:40Z,99.0,Inspire 3
2026-04-14T00:01:43Z,99.0,Inspire 3
2026-04-14T00:01:44Z,98.0,Inspire 3
2026-04-14T00:01:47Z,98.0,Inspire 3
2026-04-14T00:01:48Z,99.0,Inspire 3
2026-04-14T00:01:50Z,100.0,Inspire 3
2026-04-14T00:01:53Z,100.0,Inspire 3
2026-04-14T00:01:54Z,102.0,Inspire 3
2026-04-14T00:01:56Z,103.0,Inspire 3
2026-04-14T00:01:58Z,104.0,Inspire 3
2026-04-14T00:02:00Z,102.0,Inspire 3
2026-04-14T00:02:03Z,102.0,Inspire 3
2026-04-14T00:02:05Z,104.0,Inspire 3
2026-04-14T00:02:07Z,106.0,Inspire 3
2026-04-14T00:02:09Z,105.0,Inspire 3
2026-04-14T00:02:11Z,107.0,Inspire 3
2026-04-14T00:02:13Z,108.0,Inspire 3
2026-04-14T00:02:16Z,108.0,Inspire 3
2026-04-14T00:02:17Z,109.0,Inspire 3
