timestamp,beats per minute,data source
2026-04-08T00:00:00Z,102.0,Inspire 3
2026-04-08T00:00:01Z,104.0,Inspire 3
2026-04-08T00:00:03Z,102.0,Inspire 3
2026-04-08T00:00:06Z,102.0,Inspire 3
2026-04-08T00:00:09Z,104.0,Inspire 3
2026-04-08T00:00:11Z,106.0,Inspire 3
2026-04-08T00:00:13Z,107.0,Inspire 3
2026-04-08T00:00:16Z,107.0,Inspire 3
2026-04-08T00:00:17Z,108.0,Inspire 3
2026-04-08T00:00:20Z,107.0,Inspire 3
2026-04-08T00:00:22Z,108.0,Inspire 3
2026-04-08T00:00:25Z,108.0,Inspire 3
2026-04-08T00:00:28Z,105.0,Inspire 3
2026-04-08T00:00:30Z,104.0,Inspire 3
2026-04-08T00:00:32Z,103.0,Inspire 3
2026-04-08T00:00:34Z,104.0,Inspire 3
2026-04-08T00:00:37Z,104.0,Inspire 3
2026-04-08T00:00:40Z,106.0,Inspire 3
2026-04-08T00:00:42Z,105.0,Inspire 3
2026-04-08T00:00:45Z,106.0,Inspire 3
2026-04-08T00:00:47Z,104.0,Inspire 3
2026-04-08T00:00:49Z,105.0,Inspire 3
2026-04-08T00:00:51Z,104.0,Inspire 3
2026-04-08T00:00:54Z,104.0,Inspire 3
2026-04-08T00:00:55Z,107.0,Inspire 3
2026-04-08T00:00:57Z,105.0,Inspire 3
2026-04-08T00:00:59Z,104.0,Inspire 3
2026-04-08T00:01:01Z,106.0,Inspire 3
2026-04-08T00:01:03Z,108.0,Inspire 3
2026-04-08T00:01:05Z,105.0,Inspire 3
2026-04-08T00:01:07Z,102.0,Inspire 3
2026-04-08T00:01:08Z,100.0,Inspire 3
2026-04-08T00:01:10Z,91.0,Inspire 3
2026-04-08T00:01:12Z,88.0,Inspire 3
2026-04-08T00:01:15Z,88.0,Inspire 3
2026-04-08T00:01:16Z,86.0,Inspire 3
2026-04-08T00:01:18Z,85.0,Inspire 3
2026-04-08T00:01:20Z,84.0,Inspire 3
2026-04-08T00:01:22Z,82.0,Inspire 3
2026-04-08T00:01:24Z,91.0,Inspire 3
2026-04-08T00:01:26Z,93.0,Inspire 3
2026-04-08T00:01:28Z,96.0,Inspire 3
2026-04-08T00:01:31Z,96.0,Inspire 3
2026-04-08T00:01:33Z,94.0,Inspire 3
2026-04-08T00:01:35Z,93.0,Inspire 3
2026-04-08T00:01:37Z,92.0,Inspire 3
2026-04-08T00:01:39Z,90.0,Inspire 3
2026-04-08T00:01:41Z,89.0,Inspire 3
2026-04-08T00:01:43Z,88.0,Inspire 3
2026-04-08T00:01:45Z,87.0,Inspire 3
2026-04-08T00:01:47Z,88.0,Inspire 3
2026-04-08T00:01:50Z,88.0,Inspire 3
2026-04-08T00:01:53Z,89.0,Inspire 3
2026-04-08T00:01:55Z,88.0,Inspire 3
2026-04-08T00:01:56Z,87.0,Inspire 3
2026-04-08T00:01:59Z,87.0,Inspire 3
2026-04-08T00:02:02Z,87.0,Inspire 3
2026-04-08T00:02:04Z,86.0,Inspire 3
2026-04-08T00:02:06Z,86.0,Inspire 3
2026-04-08T00:02:08Z,85.0,Inspire 3
2026-04-08T00:02:10Z,84.0,Inspire 3
2026-04-08T00:02:13Z,84.0,Inspire 3
2026-04-08T00:02:16Z,84.0,Inspire 3
2026-04-08T00:02:18Z,85.0,Inspire 3
2026-04-08T00:02:19Z,86.0,Inspire 3
2026-04-08T00:02:22Z,86.0,Inspire 3
2026-04-08T00:02:23Z,88.0,Inspire 3
2026-04-08T00:02:26Z,88.0,Inspire 3
2026-04-08T00:02:29Z,88.0,Inspire 3
2026-04-08T00:02:31Z,90.0,Inspire 3
2026-04-08T00:02:34Z,90.0,Inspire 3
2026-04-08T00:02:35Z,91.0,Inspire 3
2026-04-08T00:02:37Z,92.0,Inspire 3
2026-04-08T00:02:39Z,90.0,Inspire 3
2026-04-08T00:02:42Z,90.0,Inspire 3
2026-04-08T00:02:45Z,90.0,Inspire 3
2026-04-08T00:02:46Z,92.0,Inspire 3
2026-04-08T00:02:49Z,92.0,Inspire 3
2026-04-08T00:02:52Z,91.0,Inspire 3
2026-04-08T00:02:54Z,90.0,Inspire 3
2026-04-08T00:02:56Z,90.0,Inspire 3
2026-04-08T00:02:59Z,90.0,Inspire 3
2026-04-08T00:03:02Z,90.0,Inspire 3
2026-04-08T00:03:04Z,88.0,Inspire 3
2026-04-08T00:03:07Z,88.0,Inspire 3
2026-04-08T00:03:09Z,88.0,Inspire 3
2026-04-08T00:03:11Z,92.0,Inspire 3
2026-04-08T00:03:14Z,92.0,Inspire 3
2026-04-08T00:03:15Z,88.0,Inspire 3
2026-04-08T00:03:17Z,84.0,Inspire 3
2026-04-08T00:03:19Z,81.0,Inspire 3
2026-04-08T00:03:21Z,80.0,Inspire 3
2026-04-08T00:03:23Z,82.0,Inspire 3
2026-04-08T00:03:26Z,82.0,Inspire 3
2026-04-08T00:03:27Z,86.0,Inspire 3
2026-04-08T00:03:29Z,89.0,Inspire 3
2026-04-08T00:03:31Z,92.0,Inspire 3
2026-04-08T00:03:34Z,92.0,Inspire 3
2026-04-08T00:03:36Z,90.0,Inspire 3
2026-04-08T00:03:38Z,90.0,Inspire 3
2026-04-08T00:03:41Z,90.0,Inspire 3
2026-04-08T00:03:44Z,89.0,Inspire 3
2026-04-08T00:03:46Z,88.0,Inspire 3
2026-04-08T00:03:48Z,87.0,Inspire 3
2026-04-08T00:03:50Z,88.0,Inspire 3
2026-04-08T00:03:53Z,88.0,Inspire 3
2026-04-08T00:03:54Z,89.0,Inspire 3
2026-04-08T00:03:55Z,90.0,Inspire 3
2026-04-08T00:03:58Z,90.0,Inspire 3
2026-04-08T00:04:01Z,91.0,Inspire 3
2026-04-08T00:04:03Z,92.0,Inspire 3
