start time,end time,data source
2026-04-06T02:51:00Z,2026-04-06T04:00:00Z,Fitbit App
2026-04-06T04:01:00Z,2026-04-06T04:26:00Z,Fitbit App
2026-04-06T04:35:00Z,2026-04-06T07:18:00Z,Fitbit App
2026-04-06T07:35:00Z,2026-04-06T08:20:00Z,Fitbit App
2026-04-06T13:55:00Z,2026-04-06T14:09:00Z,Fitbit App
2026-04-06T14:35:00Z,2026-04-06T15:42:00Z,Fitbit App
2026-04-06T15:50:00Z,2026-04-06T17:03:00Z,Fitbit App
2026-04-06T17:09:00Z,2026-04-06T18:27:00Z,Fitbit App
2026-04-06T18:54:00Z,2026-04-06T20:20:00Z,Fitbit App
2026-04-06T20:34:00Z,2026-04-06T20:55:00Z,Fitbit App
2026-04-06T21:18:00Z,2026-04-06T21:30:00Z,Fitbit App
