start time,end time,data source
2026-04-10T00:37:00Z,2026-04-10T00:47:00Z,Fitbit App
2026-04-10T00:56:00Z,2026-04-10T01:30:00Z,Fitbit App
2026-04-10T01:55:00Z,2026-04-10T03:19:00Z,Fitbit App
2026-04-10T03:43:00Z,2026-04-10T03:58:00Z,Fitbit App
2026-04-10T04:03:00Z,2026-04-10T06:32:00Z,Fitbit App
2026-04-10T12:43:00Z,2026-04-10T13:10:00Z,Fitbit App
2026-04-10T13:26:00Z,2026-04-10T13:42:00Z,Fitbit App
2026-04-10T13:50:00Z,2026-04-10T14:13:00Z,Fitbit App
2026-04-10T14:14:00Z,2026-04-10T14:39:00Z,Fitbit App
2026-04-10T14:44:00Z,2026-04-10T15:33:00Z,Fitbit App
2026-04-10T15:41:00Z,2026-04-10T17:16:00Z,Fitbit App
2026-04-10T17:21:00Z,2026-04-10T18:43:00Z,Fitbit App
2026-04-10T18:47:00Z,2026-04-10T19:08:00Z,Fitbit App
2026-04-10T19:28:00Z,2026-04-10T19:51:00Z,Fitbit App
2026-04-10T21:27:00Z,2026-04-10T22:03:00Z,Fitbit App
2026-04-10T22:15:00Z,2026-04-10T22:29:00Z,Fitbit App
2026-04-10T22:39:00Z,2026-04-10T23:05:00Z,Fitbit App
