timestamp,workout,background,total,data source
2026-04-06T14:25:00Z,0.0,0.23020331101432728,0.23020331101432728,Inspire 3
2026-04-06T20:30:00Z,0.0,0.28232605229161084,0.28232605229161084,Inspire 3
2026-04-07T00:42:00Z,0.0,0.2470446502310034,0.2470446502310034,Inspire 3
2026-04-07T00:43:00Z,0.0,0.23450088846352324,0.23450088846352324,Inspire 3
2026-04-07T00:44:00Z,0.0,0.2282920353605825,0.2282920353605825,Inspire 3
2026-04-07T04:36:00Z,0.0,0.2554320377003889,0.2554320377003889,Inspire 3
2026-04-07T04:37:00Z,0.0,0.28165903363110983,0.28165903363110983,Inspire 3
2026-04-07T04:38:00Z,0.0,0.3260134917303338,0.3260134917303338,Inspire 3
2026-04-08T00:13:00Z,0.0,0.23272610665720114,0.23272610665720114,Inspire 3
2026-04-08T00:14:00Z,0.0,0.2432736722210023,0.2432736722210023,Inspire 3
2026-04-08T00:15:00Z,0.0,0.2296278347702214,0.2296278347702214,Inspire 3
2026-04-08T01:02:00Z,0.0,0.2326286524195315,0.2326286524195315,Inspire 3
2026-04-08T01:03:00Z,0.0,0.25841177809688987,0.25841177809688987,Inspire 3
2026-04-08T01:04:00Z,0.0,0.23241217132056377,0.23241217132056377,Inspire 3
2026-04-08T01:08:00Z,0.0,0.21437047002125956,0.21437047002125956,Inspire 3
2026-04-08T01:09:00Z,0.0,0.22540689643979103,0.22540689643979103,Inspire 3
2026-04-08T01:10:00Z,0.0,0.22066135338370477,0.22066135338370477,Inspire 3
2026-04-08T02:32:00Z,0.0,0.24624122223157793,0.24624122223157793,Inspire 3
2026-04-08T02:36:00Z,0.0,0.23666030839071284,0.23666030839071284,Inspire 3
2026-04-08T02:38:00Z,0.0,0.2802031365097554,0.2802031365097554,Inspire 3
2026-04-08T06:38:00Z,0.0,0.22310646167927026,0.22310646167927026,Inspire 3
2026-04-08T19:20:00Z,0.0,0.26794499511858827,0.26794499511858827,Inspire 3
2026-04-08T19:22:00Z,0.0,0.22278277334091295,0.22278277334091295,Inspire 3
2026-04-08T19:24:00Z,0.0,0.23347953964021992,0.23347953964021992,Inspire 3
2026-04-08T19:26:00Z,0.0,0.21423084119762578,0.21423084119762578,Inspire 3
2026-04-08T19:27:00Z,0.0,0.23505037078382637,0.23505037078382637,Inspire 3
2026-04-08T19:28:00Z,0.0,0.21741579555537494,0.21741579555537494,Inspire 3
