start time,end time,data source
2026-04-07T00:54:00Z,2026-04-07T01:59:00Z,Fitbit App
2026-04-07T02:05:00Z,2026-04-07T04:00:00Z,Fitbit App
2026-04-07T04:00:00Z,2026-04-07T04:17:00Z,Fitbit App
2026-04-07T04:40:00Z,2026-04-07T05:08:00Z,Fitbit App
2026-04-07T05:20:00Z,2026-04-07T05:45:00Z,Fitbit App
2026-04-07T05:50:00Z,2026-04-07T06:35:00Z,Fitbit App
2026-04-07T17:48:00Z,2026-04-07T18:51:00Z,Fitbit App
2026-04-07T19:20:00Z,2026-04-07T20:44:00Z,Fitbit App
2026-04-07T20:52:00Z,2026-04-07T21:17:00Z,Fitbit App
2026-04-07T21:18:00Z,2026-04-07T22:02:00Z,Fitbit App
2026-04-07T22:21:00Z,2026-04-07T23:53:00Z,Fitbit App
