timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-04-06T13:42:43Z,2,0,0,Inspire 3
2026-04-06T13:42:44Z,4,610,0,Inspire 3
2026-04-06T13:42:45Z,2,560,0,Inspire 3
2026-04-06T13:42:46Z,1,710,0,Inspire 3
2026-04-06T13:42:47Z,2,910,0,Inspire 3
2026-04-06T13:42:48Z,2,1020,0,Inspire 3
2026-04-06T13:42:49Z,2,1070,0,Inspire 3
2026-04-06T13:42:50Z,2,1090,0,Inspire 3
2026-04-06T13:42:51Z,2,1170,0,Inspire 3
2026-04-06T13:42:52Z,1,1150,0,Inspire 3
2026-04-06T13:42:53Z,2,1140,0,Inspire 3
2026-04-06T13:42:54Z,2,1120,0,Inspire 3
2026-04-06T13:42:55Z,2,1130,0,Inspire 3
2026-04-06T13:42:56Z,2,1120,0,Inspire 3
2026-04-06T13:42:57Z,2,1190,0,Inspire 3
2026-04-06T13:42:58Z,1,1150,0,Inspire 3
2026-04-06T13:42:59Z,2,1140,0,Inspire 3
2026-04-06T13:43:00Z,2,1140,0,Inspire 3
2026-04-06T13:43:01Z,2,1120,0,Inspire 3
2026-04-06T13:43:02Z,2,1130,0,Inspire 3
2026-04-06T13:43:03Z,1,1120,0,Inspire 3
2026-04-06T13:43:04Z,3,1190,0,Inspire 3
2026-04-06T13:43:05Z,1,1160,0,Inspire 3
2026-04-06T13:43:06Z,2,1140,0,Inspire 3
2026-04-06T13:43:07Z,2,1150,0,Inspire 3
2026-04-06T13:43:08Z,2,1160,0,Inspire 3
2026-04-06T13:43:09Z,1,1150,0,Inspire 3
2026-04-06T13:43:10Z,2,1150,0,Inspire 3
2026-04-06T13:43:11Z,2,1140,0,Inspire 3
2026-04-06T13:43:12Z,2,1140,0,Inspire 3
2026-04-06T13:43:13Z,1,1130,0,Inspire 3
2026-04-06T13:43:14Z,2,1130,0,Inspire 3
2026-04-06T13:43:15Z,1,1130,0,Inspire 3
2026-04-06T13:43:16Z,2,1120,0,Inspire 3
2026-04-06T13:43:17Z,2,1120,0,Inspire 3
2026-04-06T13:43:18Z,2,1120,0,Inspire 3
2026-04-06T13:43:19Z,2,1110,0,Inspire 3
2026-04-06T13:43:20Z,1,1120,0,Inspire 3
2026-04-06T13:43:21Z,2,1120,0,Inspire 3
2026-04-06T13:43:22Z,2,1120,0,Inspire 3
2026-04-06T13:43:23Z,2,1110,0,Inspire 3
2026-04-06T13:43:24Z,2,1120,0,Inspire 3
2026-04-06T13:43:25Z,2,1130,0,Inspire 3
2026-04-06T13:43:26Z,1,1120,0,Inspire 3
2026-04-06T13:43:27Z,2,1130,0,Inspire 3
2026-04-06T13:43:28Z,2,1120,0,Inspire 3
2026-04-06T13:43:29Z,2,1130,0,Inspire 3
2026-04-06T13:43:30Z,2,1120,0,Inspire 3
2026-04-06T13:43:31Z,1,1130,0,Inspire 3
2026-04-06T13:43:32Z,2,1120,0,Inspire 3
2026-04-06T13:43:33Z,2,1130,0,Inspire 3
