start time,end time,data source
2026-04-13T02:00:00Z,2026-04-13T03:32:00Z,Fitbit App
2026-04-13T03:35:00Z,2026-04-13T04:00:00Z,Fitbit App
2026-04-13T04:05:00Z,2026-04-13T07:57:00Z,Fitbit App
2026-04-13T14:02:00Z,2026-04-13T14:12:00Z,Fitbit App
2026-04-13T15:31:00Z,2026-04-13T15:51:00Z,Fitbit App
2026-04-13T16:06:00Z,2026-04-13T16:58:00Z,Fitbit App
2026-04-13T17:06:00Z,2026-04-13T17:57:00Z,Fitbit App
2026-04-13T18:06:00Z,2026-04-13T19:42:00Z,Fitbit App
2026-04-13T20:15:00Z,2026-04-13T21:38:00Z,Fitbit App
2026-04-13T21:49:00Z,2026-04-13T22:55:00Z,Fitbit App
2026-04-13T23:03:00Z,2026-04-13T23:46:00Z,Fitbit App
