timestamp,lap time,stroke count,stroke type,data source
2026-04-08T21:09:04Z,00:00:27.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T21:09:40Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T21:11:12Z,00:00:44.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T21:17:23Z,00:00:26.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T21:19:15Z,00:00:32.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T21:30:04Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T21:32:50Z,00:00:29.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:14:30Z,00:00:18.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:15:03Z,00:00:29.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:15:46Z,00:00:36.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:16:27Z,00:00:26.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:18:07Z,00:00:24.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:19:07Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:24:20Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:29:49Z,00:00:30.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:30:53Z,00:00:31.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:32:13Z,00:00:29.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:33:07Z,00:00:25.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:34:01Z,00:00:26.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:39:33Z,00:00:51.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:43:19Z,00:00:27.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:44:35Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T22:48:05Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:21:04Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:41:08Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:45:18Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:47:00Z,00:00:26.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:48:57Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:49:40Z,00:00:25.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:50:32Z,00:00:31.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:52:36Z,00:00:21.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:53:19Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:53:50Z,00:00:35.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:54:30Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:55:51Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:57:08Z,00:00:38.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-08T23:57:59Z,00:00:54.000,18,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:00:45Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:05:03Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:05:30Z,00:00:19.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:08:27Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:16:30Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:25:33Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:27:23Z,00:00:21.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:28:11Z,00:00:40.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:29:04Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:34:09Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:34:59Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:37:57Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:38:40Z,00:00:40.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:41:13Z,00:00:29.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:42:01Z,00:00:35.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:43:40Z,00:00:43.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:44:52Z,00:00:37.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
