timestamp,beats per minute,data source
2026-04-12T00:00:01Z,96.0,Inspire 3
2026-04-12T00:00:02Z,95.0,Inspire 3
2026-04-12T00:00:05Z,95.0,Inspire 3
2026-04-12T00:00:06Z,94.0,Inspire 3
2026-04-12T00:00:08Z,93.0,Inspire 3
2026-04-12T00:00:10Z,90.0,Inspire 3
2026-04-12T00:00:12Z,88.0,Inspire 3
2026-04-12T00:00:13Z,86.0,Inspire 3
2026-04-12T00:00:16Z,86.0,Inspire 3
2026-04-12T00:00:19Z,86.0,Inspire 3
2026-04-12T00:00:21Z,86.0,Inspire 3
2026-04-12T00:00:23Z,87.0,Inspire 3
2026-04-12T00:00:25Z,89.0,Inspire 3
2026-04-12T00:00:27Z,91.0,Inspire 3
2026-04-12T00:00:29Z,93.0,Inspire 3
2026-04-12T00:00:31Z,92.0,Inspire 3
2026-04-12T00:00:33Z,91.0,Inspire 3
2026-04-12T00:00:35Z,90.0,Inspire 3
2026-04-12T00:00:37Z,88.0,Inspire 3
2026-04-12T00:00:38Z,86.0,Inspire 3
2026-04-12T00:00:40Z,85.0,Inspire 3
2026-04-12T00:00:42Z,84.0,Inspire 3
2026-04-12T00:00:45Z,84.0,Inspire 3
2026-04-12T00:00:46Z,85.0,Inspire 3
2026-04-12T00:00:48Z,86.0,Inspire 3
2026-04-12T00:00:51Z,86.0,Inspire 3
2026-04-12T00:00:54Z,86.0,Inspire 3
2026-04-12T00:00:56Z,87.0,Inspire 3
2026-04-12T00:00:58Z,87.0,Inspire 3
2026-04-12T00:01:00Z,88.0,Inspire 3
2026-04-12T00:01:01Z,89.0,Inspire 3
2026-04-12T00:01:03Z,90.0,Inspire 3
2026-04-12T00:01:05Z,91.0,Inspire 3
2026-04-12T00:01:07Z,92.0,Inspire 3
2026-04-12T00:01:09Z,93.0,Inspire 3
2026-04-12T00:01:11Z,92.0,Inspire 3
2026-04-12T00:01:14Z,92.0,Inspire 3
2026-04-12T00:01:15Z,90.0,Inspire 3
2026-04-12T00:01:17Z,89.0,Inspire 3
2026-04-12T00:01:19Z,88.0,Inspire 3
2026-04-12T00:01:22Z,88.0,Inspire 3
2026-04-12T00:01:23Z,88.0,Inspire 3
2026-04-12T00:01:26Z,86.0,Inspire 3
2026-04-12T00:01:28Z,88.0,Inspire 3
2026-04-12T00:01:30Z,90.0,Inspire 3
2026-04-12T00:01:32Z,92.0,Inspire 3
2026-04-12T00:01:34Z,90.0,Inspire 3
2026-04-12T00:01:36Z,87.0,Inspire 3
2026-04-12T00:01:38Z,85.0,Inspire 3
2026-04-12T00:01:41Z,85.0,Inspire 3
2026-04-12T00:01:42Z,86.0,Inspire 3
2026-04-12T00:01:44Z,87.0,Inspire 3
2026-04-12T00:01:46Z,86.0,Inspire 3
2026-04-12T00:01:49Z,87.0,Inspire 3
2026-04-12T00:01:52Z,87.0,Inspire 3
2026-04-12T00:01:53Z,86.0,Inspire 3
2026-04-12T00:01:56Z,86.0,Inspire 3
2026-04-12T00:01:57Z,86.0,Inspire 3
2026-04-12T00:02:00Z,86.0,Inspire 3
2026-04-12T00:02:03Z,86.0,Inspire 3
2026-04-12T00:02:05Z,86.0,Inspire 3
