timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-04-08T02:33:59Z,2,0,0,Inspire 3
2026-04-08T02:34:00Z,0,0,0,Inspire 3
2026-04-08T02:34:01Z,0,0,0,Inspire 3
2026-04-08T02:34:02Z,4,0,0,Inspire 3
2026-04-08T02:34:03Z,1,0,0,Inspire 3
2026-04-08T02:34:04Z,2,0,0,Inspire 3
2026-04-08T02:34:05Z,2,0,0,Inspire 3
2026-04-08T02:34:06Z,1,0,0,Inspire 3
2026-04-08T02:34:07Z,2,0,0,Inspire 3
2026-04-08T02:34:08Z,1,0,0,Inspire 3
2026-04-08T02:34:09Z,0,0,0,Inspire 3
2026-04-08T02:34:10Z,0,0,0,Inspire 3
2026-04-08T02:34:11Z,0,0,0,Inspire 3
2026-04-08T02:34:12Z,0,0,0,Inspire 3
2026-04-08T02:34:13Z,0,0,0,Inspire 3
2026-04-08T02:34:14Z,0,0,0,Inspire 3
2026-04-08T02:34:15Z,0,0,0,Inspire 3
2026-04-08T02:34:16Z,0,0,0,Inspire 3
2026-04-08T02:34:17Z,0,0,0,Inspire 3
2026-04-08T02:34:18Z,0,0,0,Inspire 3
2026-04-08T02:34:19Z,0,0,0,Inspire 3
2026-04-08T02:34:20Z,0,0,0,Inspire 3
2026-04-08T02:34:21Z,0,0,0,Inspire 3
2026-04-08T02:34:22Z,0,0,0,Inspire 3
2026-04-08T02:34:23Z,0,0,0,Inspire 3
2026-04-08T02:34:24Z,0,0,0,Inspire 3
2026-04-08T02:34:25Z,0,0,0,Inspire 3
2026-04-08T02:34:26Z,0,0,0,Inspire 3
2026-04-08T02:34:27Z,0,0,0,Inspire 3
2026-04-08T02:34:28Z,4,0,0,Inspire 3
2026-04-08T02:34:29Z,1,0,0,Inspire 3
2026-04-08T02:34:30Z,2,0,0,Inspire 3
2026-04-08T02:34:31Z,2,0,0,Inspire 3
2026-04-08T02:34:32Z,0,0,0,Inspire 3
2026-04-08T02:34:33Z,0,0,0,Inspire 3
2026-04-08T02:34:34Z,0,0,0,Inspire 3
2026-04-08T02:34:35Z,0,0,0,Inspire 3
2026-04-08T02:34:36Z,0,0,0,Inspire 3
2026-04-08T02:34:37Z,0,0,0,Inspire 3
2026-04-08T02:34:38Z,0,0,0,Inspire 3
2026-04-08T02:34:39Z,0,0,0,Inspire 3
2026-04-08T02:34:40Z,0,0,0,Inspire 3
2026-04-08T02:34:41Z,0,0,0,Inspire 3
2026-04-08T02:34:42Z,0,0,0,Inspire 3
2026-04-08T02:34:43Z,0,0,0,Inspire 3
2026-04-08T02:34:44Z,0,0,0,Inspire 3
2026-04-08T02:34:45Z,0,0,0,Inspire 3
2026-04-08T02:34:46Z,0,0,0,Inspire 3
2026-04-08T02:34:47Z,0,0,0,Inspire 3
2026-04-08T02:34:48Z,0,0,0,Inspire 3
2026-04-08T02:34:49Z,0,0,0,Inspire 3
2026-04-08T02:34:50Z,0,0,0,Inspire 3
2026-04-08T02:34:51Z,0,0,0,Inspire 3
2026-04-08T02:34:52Z,0,0,0,Inspire 3
2026-04-08T02:34:53Z,0,0,0,Inspire 3
2026-04-08T02:34:54Z,0,0,0,Inspire 3
2026-04-08T02:34:55Z,0,0,0,Inspire 3
2026-04-08T02:34:56Z,0,0,0,Inspire 3
2026-04-08T02:34:57Z,0,0,0,Inspire 3
2026-04-08T02:34:58Z,0,0,0,Inspire 3
2026-04-08T02:34:59Z,0,0,0,Inspire 3
