start time,end time,data source
2026-04-12T00:11:00Z,2026-04-12T00:22:00Z,Fitbit App
2026-04-12T00:53:00Z,2026-04-12T02:42:00Z,Fitbit App
2026-04-12T02:53:00Z,2026-04-12T03:39:00Z,Fitbit App
2026-04-12T04:00:00Z,2026-04-12T04:50:00Z,Fitbit App
2026-04-12T04:53:00Z,2026-04-12T08:18:00Z,Fitbit App
2026-04-12T13:02:00Z,2026-04-12T14:03:00Z,Fitbit App
2026-04-12T14:04:00Z,2026-04-12T14:29:00Z,Fitbit App
2026-04-12T14:45:00Z,2026-04-12T15:10:00Z,Fitbit App
2026-04-12T18:14:00Z,2026-04-12T20:16:00Z,Fitbit App
2026-04-12T20:21:00Z,2026-04-12T21:41:00Z,Fitbit App
2026-04-12T21:47:00Z,2026-04-12T22:31:00Z,Fitbit App
2026-04-12T22:32:00Z,2026-04-12T23:33:00Z,Fitbit App
2026-04-12T23:40:00Z,2026-04-13T01:50:00Z,Fitbit App
