timestamp,heart_rate_zone,data source
2026-03-31T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-01T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-02T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-03T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-04T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-05T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 109},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 110, ""max_heart_rate_bpm"": 134},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 135, ""max_heart_rate_bpm"": 165},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 166, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-06T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 121},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 122, ""max_heart_rate_bpm"": 145},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 146, ""max_heart_rate_bpm"": 176},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 177, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-07T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 123},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 124, ""max_heart_rate_bpm"": 147},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 148, ""max_heart_rate_bpm"": 177},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 178, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-08T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 121},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 122, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 176},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 177, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-09T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 120},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 121, ""max_heart_rate_bpm"": 145},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 146, ""max_heart_rate_bpm"": 176},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 177, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-10T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 120},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 121, ""max_heart_rate_bpm"": 145},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 146, ""max_heart_rate_bpm"": 176},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 177, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-11T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 122},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 123, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 176},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 177, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-12T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 122},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 123, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 176},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 177, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-13T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 121},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 122, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 176},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 177, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-14T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 121},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 122, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 176},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 177, ""max_heart_rate_bpm"": 220}",Fitbit App
