timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-08T09:25:00Z,31.7,0.0,Fitbit App
2026-04-08T09:30:00Z,18.6,0.0,Fitbit App
2026-04-08T09:35:00Z,20.7,0.0,Fitbit App
2026-04-08T09:40:00Z,23.5,0.0,Fitbit App
2026-04-08T09:45:00Z,22.6,0.0,Fitbit App
2026-04-08T09:50:00Z,26.8,0.0,Fitbit App
2026-04-08T09:55:00Z,23.5,0.0,Fitbit App
2026-04-08T10:00:00Z,23.7,0.0,Fitbit App
2026-04-08T10:05:00Z,24.8,0.0,Fitbit App
2026-04-08T10:10:00Z,25.2,0.0,Fitbit App
2026-04-08T10:15:00Z,29.7,0.0,Fitbit App
2026-04-08T10:20:00Z,28.1,0.0,Fitbit App
2026-04-08T10:25:00Z,27.4,0.0,Fitbit App
2026-04-08T10:30:00Z,27.3,0.0,Fitbit App
2026-04-08T10:35:00Z,24.2,0.0,Fitbit App
2026-04-08T10:40:00Z,26.1,0.0,Fitbit App
2026-04-08T10:45:00Z,27.0,0.0,Fitbit App
2026-04-08T10:50:00Z,31.0,0.0,Fitbit App
2026-04-08T10:55:00Z,22.2,0.0,Fitbit App
2026-04-08T11:00:00Z,22.1,0.0,Fitbit App
2026-04-08T11:05:00Z,18.7,0.0,Fitbit App
2026-04-08T11:10:00Z,20.3,0.0,Fitbit App
2026-04-08T11:15:00Z,27.5,0.0,Fitbit App
2026-04-08T11:20:00Z,28.1,0.0,Fitbit App
2026-04-08T11:25:00Z,27.2,0.0,Fitbit App
2026-04-08T11:30:00Z,25.3,0.0,Fitbit App
2026-04-08T11:35:00Z,28.2,0.0,Fitbit App
2026-04-08T11:40:00Z,26.5,0.0,Fitbit App
2026-04-08T11:45:00Z,30.7,0.0,Fitbit App
2026-04-08T11:50:00Z,29.7,0.0,Fitbit App
2026-04-08T11:55:00Z,34.0,0.0,Fitbit App
2026-04-08T12:00:00Z,31.0,0.0,Fitbit App
2026-04-08T12:05:00Z,30.4,0.0,Fitbit App
2026-04-08T12:10:00Z,32.2,0.0,Fitbit App
2026-04-08T12:15:00Z,35.9,0.0,Fitbit App
2026-04-08T12:20:00Z,45.1,0.0,Fitbit App
2026-04-08T12:25:00Z,33.1,0.0,Fitbit App
2026-04-08T12:30:00Z,26.8,0.0,Fitbit App
2026-04-08T12:35:00Z,37.3,0.0,Fitbit App
2026-04-08T12:40:00Z,29.3,0.0,Fitbit App
2026-04-08T12:45:00Z,21.2,0.0,Fitbit App
2026-04-08T12:50:00Z,39.4,0.0,Fitbit App
2026-04-08T12:55:00Z,25.4,0.0,Fitbit App
2026-04-08T13:00:00Z,31.1,0.0,Fitbit App
2026-04-08T13:05:00Z,38.2,0.0,Fitbit App
2026-04-08T13:10:00Z,32.9,0.0,Fitbit App
2026-04-08T13:15:00Z,33.5,0.0,Fitbit App
2026-04-08T13:20:00Z,30.9,0.0,Fitbit App
2026-04-08T13:25:00Z,33.5,0.0,Fitbit App
2026-04-08T13:30:00Z,30.0,0.0,Fitbit App
2026-04-08T13:35:00Z,37.7,0.0,Fitbit App
2026-04-08T13:40:00Z,35.0,0.0,Fitbit App
2026-04-08T13:45:00Z,34.9,0.0,Fitbit App
2026-04-08T13:50:00Z,30.5,0.0,Fitbit App
2026-04-08T13:55:00Z,42.8,0.0,Fitbit App
2026-04-08T14:00:00Z,40.5,0.0,Fitbit App
2026-04-08T14:05:00Z,41.3,0.0,Fitbit App
2026-04-08T14:10:00Z,37.7,0.0,Fitbit App
2026-04-08T14:15:00Z,31.3,0.0,Fitbit App
2026-04-08T14:20:00Z,20.6,0.0,Fitbit App
2026-04-08T14:25:00Z,18.7,0.0,Fitbit App
2026-04-08T14:30:00Z,24.5,0.0,Fitbit App
2026-04-08T14:35:00Z,27.0,0.0,Fitbit App
2026-04-08T14:40:00Z,27.5,0.0,Fitbit App
2026-04-08T14:45:00Z,22.7,0.0,Fitbit App
2026-04-08T14:50:00Z,22.4,0.0,Fitbit App
2026-04-08T14:55:00Z,19.0,0.0,Fitbit App
2026-04-08T15:00:00Z,18.3,0.0,Fitbit App
2026-04-08T15:05:00Z,19.5,0.0,Fitbit App
2026-04-08T15:10:00Z,21.3,0.0,Fitbit App
2026-04-11T05:05:00Z,22.9,0.0,Fitbit App
2026-04-11T05:10:00Z,19.5,0.0,Fitbit App
2026-04-11T05:15:00Z,20.6,0.0,Fitbit App
2026-04-11T05:20:00Z,21.7,0.0,Fitbit App
2026-04-11T05:25:00Z,19.3,0.0,Fitbit App
2026-04-11T05:30:00Z,16.7,0.0,Fitbit App
2026-04-11T05:35:00Z,16.7,0.0,Fitbit App
2026-04-11T05:40:00Z,16.4,0.0,Fitbit App
2026-04-11T05:45:00Z,16.8,0.0,Fitbit App
2026-04-11T05:50:00Z,15.1,0.0,Fitbit App
2026-04-11T05:55:00Z,15.3,0.0,Fitbit App
2026-04-11T06:00:00Z,13.8,0.0,Fitbit App
2026-04-11T06:05:00Z,14.5,0.0,Fitbit App
2026-04-11T06:10:00Z,13.9,0.0,Fitbit App
2026-04-11T06:15:00Z,11.9,0.0,Fitbit App
2026-04-11T06:20:00Z,12.5,0.0,Fitbit App
2026-04-11T06:25:00Z,16.0,0.0,Fitbit App
2026-04-11T06:30:00Z,16.1,0.0,Fitbit App
2026-04-11T06:35:00Z,14.3,0.0,Fitbit App
2026-04-11T06:40:00Z,13.8,0.0,Fitbit App
2026-04-11T06:45:00Z,12.1,0.0,Fitbit App
2026-04-11T06:50:00Z,12.6,0.0,Fitbit App
