timestamp,heart rate zone type,data source
2026-04-02T17:08:00Z,MODERATE,Fitbit App
2026-04-02T17:12:00Z,VIGOROUS,Fitbit App
2026-04-02T17:13:00Z,MODERATE,Fitbit App
2026-04-02T17:14:00Z,LIGHT,Fitbit App
2026-04-02T18:09:00Z,LIGHT,Fitbit App
