timestamp,beats per minute,data source
2026-04-07T00:00:00Z,85.0,Inspire 3
2026-04-07T00:00:01Z,84.0,Inspire 3
2026-04-07T00:00:04Z,84.0,Inspire 3
2026-04-07T00:00:05Z,85.0,Inspire 3
2026-04-07T00:00:07Z,84.0,Inspire 3
2026-04-07T00:00:10Z,84.0,Inspire 3
2026-04-07T00:00:11Z,82.0,Inspire 3
2026-04-07T00:00:13Z,83.0,Inspire 3
2026-04-07T00:00:15Z,84.0,Inspire 3
2026-04-07T00:00:18Z,84.0,Inspire 3
2026-04-07T00:00:21Z,84.0,Inspire 3
2026-04-07T00:00:22Z,86.0,Inspire 3
2026-04-07T00:00:24Z,88.0,Inspire 3
2026-04-07T00:00:26Z,86.0,Inspire 3
2026-04-07T00:00:28Z,83.0,Inspire 3
2026-04-07T00:00:30Z,81.0,Inspire 3
2026-04-07T00:00:32Z,79.0,Inspire 3
2026-04-07T00:00:34Z,78.0,Inspire 3
2026-04-07T00:00:37Z,78.0,Inspire 3
2026-04-07T00:00:40Z,78.0,Inspire 3
2026-04-07T00:00:42Z,80.0,Inspire 3
2026-04-07T00:00:43Z,82.0,Inspire 3
2026-04-07T00:00:45Z,84.0,Inspire 3
2026-04-07T00:00:47Z,86.0,Inspire 3
2026-04-07T00:00:49Z,88.0,Inspire 3
2026-04-07T00:00:51Z,90.0,Inspire 3
2026-04-07T00:00:53Z,92.0,Inspire 3
2026-04-07T00:00:55Z,96.0,Inspire 3
2026-04-07T00:00:58Z,96.0,Inspire 3
2026-04-07T00:00:59Z,93.0,Inspire 3
2026-04-07T00:01:01Z,89.0,Inspire 3
2026-04-07T00:01:03Z,84.0,Inspire 3
2026-04-07T00:01:05Z,81.0,Inspire 3
2026-04-07T00:01:06Z,80.0,Inspire 3
2026-04-07T00:01:08Z,81.0,Inspire 3
2026-04-07T00:01:10Z,84.0,Inspire 3
2026-04-07T00:01:12Z,86.0,Inspire 3
2026-04-07T00:01:14Z,88.0,Inspire 3
2026-04-07T00:01:16Z,87.0,Inspire 3
2026-04-07T00:01:18Z,84.0,Inspire 3
2026-04-07T00:01:20Z,82.0,Inspire 3
2026-04-07T00:01:22Z,81.0,Inspire 3
2026-04-07T00:01:24Z,80.0,Inspire 3
2026-04-07T00:01:26Z,78.0,Inspire 3
2026-04-07T00:01:29Z,78.0,Inspire 3
2026-04-07T00:01:30Z,79.0,Inspire 3
2026-04-07T00:01:31Z,80.0,Inspire 3
2026-04-07T00:01:33Z,81.0,Inspire 3
2026-04-07T00:01:35Z,82.0,Inspire 3
2026-04-07T00:01:38Z,82.0,Inspire 3
2026-04-07T00:01:41Z,84.0,Inspire 3
2026-04-07T00:01:43Z,86.0,Inspire 3
2026-04-07T00:01:45Z,88.0,Inspire 3
2026-04-07T00:01:47Z,91.0,Inspire 3
2026-04-07T00:01:49Z,92.0,Inspire 3
2026-04-07T00:01:51Z,91.0,Inspire 3
2026-04-07T00:01:53Z,87.0,Inspire 3
2026-04-07T00:01:54Z,82.0,Inspire 3
2026-04-07T00:01:56Z,80.0,Inspire 3
2026-04-07T00:01:58Z,78.0,Inspire 3
2026-04-07T00:02:01Z,78.0,Inspire 3
2026-04-07T00:02:04Z,80.0,Inspire 3
2026-04-07T00:02:06Z,83.0,Inspire 3
2026-04-07T00:02:08Z,84.0,Inspire 3
2026-04-07T00:02:10Z,82.0,Inspire 3
2026-04-07T00:02:12Z,79.0,Inspire 3
2026-04-07T00:02:14Z,77.0,Inspire 3
2026-04-07T00:02:17Z,77.0,Inspire 3
2026-04-07T00:02:18Z,75.0,Inspire 3
2026-04-07T00:02:19Z,74.0,Inspire 3
2026-04-07T00:02:22Z,74.0,Inspire 3
2026-04-07T00:02:23Z,75.0,Inspire 3
2026-04-07T00:02:25Z,76.0,Inspire 3
2026-04-07T00:02:27Z,78.0,Inspire 3
2026-04-07T00:02:29Z,80.0,Inspire 3
2026-04-07T00:02:31Z,82.0,Inspire 3
2026-04-07T00:02:33Z,84.0,Inspire 3
2026-04-07T00:02:35Z,85.0,Inspire 3
2026-04-07T00:02:37Z,83.0,Inspire 3
2026-04-07T00:02:39Z,81.0,Inspire 3
2026-04-07T00:02:41Z,78.0,Inspire 3
2026-04-07T00:02:44Z,77.0,Inspire 3
2026-04-07T00:02:47Z,77.0,Inspire 3
2026-04-07T00:02:48Z,78.0,Inspire 3
2026-04-07T00:02:51Z,78.0,Inspire 3
2026-04-07T00:02:54Z,78.0,Inspire 3
2026-04-07T00:02:56Z,77.0,Inspire 3
2026-04-07T00:02:58Z,78.0,Inspire 3
2026-04-07T00:03:00Z,80.0,Inspire 3
2026-04-07T00:03:03Z,80.0,Inspire 3
2026-04-07T00:03:04Z,82.0,Inspire 3
2026-04-07T00:03:07Z,82.0,Inspire 3
2026-04-07T00:03:10Z,82.0,Inspire 3
2026-04-07T00:03:11Z,83.0,Inspire 3
2026-04-07T00:03:13Z,84.0,Inspire 3
2026-04-07T00:03:16Z,84.0,Inspire 3
2026-04-07T00:03:17Z,85.0,Inspire 3
2026-04-07T00:03:19Z,84.0,Inspire 3
2026-04-07T00:03:22Z,84.0,Inspire 3
2026-04-07T00:03:23Z,83.0,Inspire 3
2026-04-07T00:03:25Z,82.0,Inspire 3
2026-04-07T00:03:27Z,82.0,Inspire 3
2026-04-07T00:03:29Z,81.0,Inspire 3
2026-04-07T00:03:30Z,80.0,Inspire 3
2026-04-07T00:03:32Z,78.0,Inspire 3
2026-04-07T00:03:35Z,78.0,Inspire 3
2026-04-07T00:03:36Z,79.0,Inspire 3
2026-04-07T00:03:38Z,80.0,Inspire 3
2026-04-07T00:03:40Z,82.0,Inspire 3
2026-04-07T00:03:42Z,84.0,Inspire 3
2026-04-07T00:03:45Z,84.0,Inspire 3
2026-04-07T00:03:46Z,82.0,Inspire 3
2026-04-07T00:03:49Z,82.0,Inspire 3
2026-04-07T00:03:50Z,80.0,Inspire 3
2026-04-07T00:03:53Z,80.0,Inspire 3
2026-04-07T00:03:54Z,81.0,Inspire 3
2026-04-07T00:03:55Z,82.0,Inspire 3
2026-04-07T00:03:58Z,82.0,Inspire 3
