timestamp,level,data source
2026-03-19T18:40:00Z,SEDENTARY,Fitbit App
2026-03-19T18:46:00Z,SEDENTARY,Fitbit App
2026-03-19T18:48:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-03-26T17:50:00Z,SEDENTARY,Fitbit App
2026-03-26T17:51:00Z,SEDENTARY,Fitbit App
2026-03-26T17:54:00Z,SEDENTARY,Fitbit App
2026-03-26T17:55:00Z,SEDENTARY,Fitbit App
2026-03-26T17:56:00Z,SEDENTARY,Fitbit App
2026-03-26T17:58:00Z,SEDENTARY,Fitbit App
2026-03-26T17:59:00Z,SEDENTARY,Fitbit App
2026-03-26T18:00:00Z,SEDENTARY,Fitbit App
2026-03-26T18:01:00Z,SEDENTARY,Fitbit App
2026-03-26T18:03:00Z,SEDENTARY,Fitbit App
2026-03-26T18:04:00Z,SEDENTARY,Fitbit App
2026-03-26T18:06:00Z,SEDENTARY,Fitbit App
2026-03-26T18:07:00Z,SEDENTARY,Fitbit App
2026-03-26T18:09:00Z,SEDENTARY,Fitbit App
2026-03-26T18:10:00Z,SEDENTARY,Fitbit App
2026-03-26T18:34:00Z,SEDENTARY,Fitbit App
2026-03-26T18:35:00Z,SEDENTARY,Fitbit App
2026-03-26T18:36:00Z,SEDENTARY,Fitbit App
2026-03-26T18:42:00Z,SEDENTARY,Fitbit App
2026-03-26T18:43:00Z,SEDENTARY,Fitbit App
2026-03-26T18:45:00Z,SEDENTARY,Fitbit App
2026-03-26T18:47:00Z,SEDENTARY,Fitbit App
2026-03-26T18:48:00Z,SEDENTARY,Fitbit App
2026-03-31T17:01:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-03-31T17:09:00Z,SEDENTARY,Fitbit App
2026-03-31T17:10:00Z,SEDENTARY,Fitbit App
2026-03-31T17:11:00Z,SEDENTARY,Fitbit App
2026-03-31T17:14:00Z,SEDENTARY,Fitbit App
2026-03-31T17:53:00Z,SEDENTARY,Fitbit App
2026-03-31T18:22:00Z,SEDENTARY,Fitbit App
2026-03-31T18:23:00Z,SEDENTARY,Fitbit App
2026-03-31T18:31:00Z,SEDENTARY,Fitbit App
