timestamp,steps,data source
2026-04-06T20:56:00Z,96,Inspire 3
2026-04-06T20:57:00Z,31,Inspire 3
2026-04-06T20:58:00Z,57,Inspire 3
2026-04-06T20:59:00Z,73,Inspire 3
2026-04-06T21:00:00Z,84,Inspire 3
2026-04-06T21:01:00Z,97,Inspire 3
2026-04-06T21:02:00Z,100,Inspire 3
2026-04-06T21:03:00Z,98,Inspire 3
2026-04-06T21:04:00Z,93,Inspire 3
2026-04-06T21:05:00Z,94,Inspire 3
2026-04-06T21:06:00Z,97,Inspire 3
2026-04-06T21:07:00Z,59,Inspire 3
2026-04-06T21:08:00Z,24,Inspire 3
2026-04-06T21:09:00Z,44,Inspire 3
2026-04-06T21:10:00Z,22,Inspire 3
2026-04-06T21:11:00Z,9,Inspire 3
2026-04-06T21:13:00Z,7,Inspire 3
2026-04-06T21:14:00Z,19,Inspire 3
2026-04-06T21:15:00Z,4,Inspire 3
2026-04-06T21:16:00Z,9,Inspire 3
2026-04-06T21:17:00Z,11,Inspire 3
2026-04-07T00:32:00Z,13,Inspire 3
2026-04-07T00:36:00Z,15,Inspire 3
2026-04-07T00:37:00Z,11,Inspire 3
2026-04-07T00:44:00Z,7,Inspire 3
2026-04-07T00:45:00Z,9,Inspire 3
2026-04-07T00:46:00Z,17,Inspire 3
2026-04-07T00:47:00Z,11,Inspire 3
2026-04-07T00:49:00Z,26,Inspire 3
2026-04-07T00:51:00Z,6,Inspire 3
2026-04-07T00:52:00Z,5,Inspire 3
2026-04-07T00:53:00Z,9,Inspire 3
2026-04-07T01:23:00Z,19,Inspire 3
2026-04-07T01:35:00Z,26,Inspire 3
2026-04-07T01:42:00Z,7,Inspire 3
2026-04-07T01:43:00Z,7,Inspire 3
2026-04-07T01:59:00Z,9,Inspire 3
2026-04-07T02:00:00Z,25,Inspire 3
2026-04-07T02:01:00Z,65,Inspire 3
2026-04-07T02:02:00Z,7,Inspire 3
2026-04-07T02:07:00Z,5,Inspire 3
2026-04-07T02:20:00Z,8,Inspire 3
2026-04-07T02:23:00Z,8,Inspire 3
2026-04-07T02:29:00Z,20,Inspire 3
2026-04-07T02:36:00Z,9,Inspire 3
2026-04-07T02:46:00Z,6,Inspire 3
2026-04-07T02:47:00Z,10,Inspire 3
2026-04-07T03:27:00Z,11,Inspire 3
2026-04-07T03:37:00Z,5,Inspire 3
2026-04-07T04:02:00Z,31,Inspire 3
2026-04-07T04:06:00Z,9,Inspire 3
2026-04-07T04:07:00Z,1,Inspire 3
2026-04-07T04:12:00Z,7,Inspire 3
2026-04-07T04:17:00Z,17,Inspire 3
2026-04-07T04:18:00Z,5,Inspire 3
2026-04-07T04:19:00Z,26,Inspire 3
2026-04-07T04:20:00Z,15,Inspire 3
2026-04-07T04:34:00Z,20,Inspire 3
2026-04-07T04:35:00Z,32,Inspire 3
2026-04-07T04:37:00Z,27,Inspire 3
2026-04-07T04:39:00Z,7,Inspire 3
2026-04-07T04:40:00Z,20,Inspire 3
2026-04-07T05:13:00Z,7,Inspire 3
2026-04-07T05:45:00Z,44,Inspire 3
2026-04-07T05:46:00Z,19,Inspire 3
2026-04-07T05:57:00Z,8,Inspire 3
2026-04-07T06:30:00Z,9,Inspire 3
2026-04-07T17:51:00Z,12,Inspire 3
2026-04-07T17:55:00Z,9,Inspire 3
2026-04-07T18:01:00Z,8,Inspire 3
2026-04-07T18:04:00Z,12,Inspire 3
2026-04-07T18:06:00Z,17,Inspire 3
2026-04-07T18:16:00Z,10,Inspire 3
2026-04-07T18:25:00Z,14,Inspire 3
2026-04-07T18:35:00Z,6,Inspire 3
2026-04-07T18:41:00Z,11,Inspire 3
2026-04-07T18:43:00Z,7,Inspire 3
2026-04-07T18:48:00Z,27,Inspire 3
2026-04-07T18:51:00Z,17,Inspire 3
2026-04-07T18:52:00Z,49,Inspire 3
2026-04-07T18:53:00Z,16,Inspire 3
2026-04-07T18:54:00Z,3,Inspire 3
2026-04-07T18:55:00Z,31,Inspire 3
2026-04-07T18:56:00Z,47,Inspire 3
2026-04-07T18:57:00Z,56,Inspire 3
2026-04-07T18:58:00Z,31,Inspire 3
2026-04-07T18:59:00Z,31,Inspire 3
2026-04-07T19:00:00Z,34,Inspire 3
2026-04-07T19:01:00Z,27,Inspire 3
2026-04-07T19:02:00Z,24,Inspire 3
2026-04-07T19:03:00Z,6,Inspire 3
2026-04-07T19:04:00Z,31,Inspire 3
2026-04-07T19:05:00Z,15,Inspire 3
2026-04-07T19:06:00Z,31,Inspire 3
2026-04-07T19:08:00Z,23,Inspire 3
2026-04-07T19:10:00Z,4,Inspire 3
2026-04-07T19:11:00Z,45,Inspire 3
2026-04-07T19:12:00Z,40,Inspire 3
2026-04-07T19:16:00Z,19,Inspire 3
2026-04-07T19:17:00Z,10,Inspire 3
2026-04-07T19:19:00Z,46,Inspire 3
2026-04-07T19:20:00Z,13,Inspire 3
2026-04-07T19:25:00Z,10,Inspire 3
2026-04-07T19:27:00Z,9,Inspire 3
2026-04-07T19:30:00Z,11,Inspire 3
2026-04-07T19:34:00Z,4,Inspire 3
2026-04-07T19:41:00Z,6,Inspire 3
2026-04-07T19:57:00Z,7,Inspire 3
2026-04-07T20:06:00Z,8,Inspire 3
2026-04-07T20:08:00Z,5,Inspire 3
2026-04-07T20:19:00Z,17,Inspire 3
2026-04-07T20:34:00Z,6,Inspire 3
2026-04-07T20:35:00Z,9,Inspire 3
2026-04-07T20:44:00Z,16,Inspire 3
2026-04-07T20:45:00Z,78,Inspire 3
2026-04-07T20:46:00Z,33,Inspire 3
2026-04-07T20:47:00Z,14,Inspire 3
2026-04-07T20:48:00Z,51,Inspire 3
2026-04-07T20:49:00Z,54,Inspire 3
2026-04-07T20:50:00Z,35,Inspire 3
2026-04-07T20:51:00Z,31,Inspire 3
2026-04-07T21:01:00Z,11,Inspire 3
2026-04-07T21:02:00Z,31,Inspire 3
2026-04-07T21:07:00Z,11,Inspire 3
2026-04-07T21:17:00Z,81,Inspire 3
2026-04-07T21:18:00Z,8,Inspire 3
2026-04-07T21:21:00Z,14,Inspire 3
2026-04-07T21:31:00Z,4,Inspire 3
2026-04-07T21:51:00Z,17,Inspire 3
2026-04-07T21:57:00Z,11,Inspire 3
2026-04-07T21:58:00Z,11,Inspire 3
2026-04-07T21:59:00Z,8,Inspire 3
2026-04-07T22:02:00Z,58,Inspire 3
2026-04-07T22:03:00Z,41,Inspire 3
2026-04-07T22:11:00Z,32,Inspire 3
2026-04-07T22:12:00Z,7,Inspire 3
2026-04-07T22:13:00Z,13,Inspire 3
2026-04-07T22:14:00Z,8,Inspire 3
2026-04-07T22:15:00Z,31,Inspire 3
2026-04-07T22:16:00Z,19,Inspire 3
2026-04-07T22:17:00Z,16,Inspire 3
2026-04-07T22:18:00Z,20,Inspire 3
2026-04-07T22:19:00Z,23,Inspire 3
2026-04-07T22:20:00Z,10,Inspire 3
2026-04-07T23:43:00Z,6,Inspire 3
2026-04-07T23:53:00Z,17,Inspire 3
2026-04-07T23:54:00Z,9,Inspire 3
2026-04-07T23:55:00Z,31,Inspire 3
2026-04-07T23:56:00Z,18,Inspire 3
2026-04-07T23:57:00Z,14,Inspire 3
2026-04-07T23:58:00Z,35,Inspire 3
2026-04-07T23:59:00Z,16,Inspire 3
2026-04-08T00:00:00Z,56,Inspire 3
2026-04-08T00:09:00Z,23,Inspire 3
2026-04-08T00:10:00Z,6,Inspire 3
2026-04-08T00:12:00Z,24,Inspire 3
2026-04-08T00:13:00Z,59,Inspire 3
2026-04-08T00:14:00Z,93,Inspire 3
2026-04-08T00:15:00Z,10,Inspire 3
2026-04-08T00:51:00Z,7,Inspire 3
2026-04-08T01:01:00Z,35,Inspire 3
2026-04-08T01:02:00Z,68,Inspire 3
2026-04-08T01:03:00Z,61,Inspire 3
2026-04-08T01:04:00Z,33,Inspire 3
2026-04-08T01:07:00Z,14,Inspire 3
2026-04-08T01:08:00Z,19,Inspire 3
2026-04-08T01:09:00Z,41,Inspire 3
2026-04-08T01:10:00Z,23,Inspire 3
2026-04-08T01:12:00Z,24,Inspire 3
2026-04-08T01:19:00Z,5,Inspire 3
2026-04-08T01:28:00Z,10,Inspire 3
2026-04-08T01:29:00Z,7,Inspire 3
2026-04-08T01:30:00Z,14,Inspire 3
2026-04-08T01:45:00Z,15,Inspire 3
2026-04-08T01:46:00Z,23,Inspire 3
2026-04-08T02:20:00Z,12,Inspire 3
2026-04-08T02:21:00Z,8,Inspire 3
2026-04-08T02:22:00Z,61,Inspire 3
2026-04-08T02:23:00Z,40,Inspire 3
2026-04-08T02:24:00Z,52,Inspire 3
2026-04-08T02:25:00Z,14,Inspire 3
2026-04-08T02:29:00Z,23,Inspire 3
2026-04-08T02:30:00Z,5,Inspire 3
2026-04-08T02:31:00Z,18,Inspire 3
2026-04-08T02:32:00Z,19,Inspire 3
2026-04-08T02:33:00Z,25,Inspire 3
2026-04-08T02:34:00Z,28,Inspire 3
2026-04-08T02:35:00Z,11,Inspire 3
2026-04-08T02:36:00Z,28,Inspire 3
2026-04-08T02:37:00Z,45,Inspire 3
2026-04-08T02:38:00Z,45,Inspire 3
2026-04-08T02:39:00Z,30,Inspire 3
