start time,end time,data source
2026-04-14T00:25:00Z,2026-04-14T00:41:00Z,Fitbit App
2026-04-14T01:03:00Z,2026-04-14T03:10:00Z,Fitbit App
2026-04-14T03:22:00Z,2026-04-14T04:00:00Z,Fitbit App
2026-04-14T04:06:00Z,2026-04-14T07:48:00Z,Fitbit App
2026-04-14T07:55:00Z,2026-04-14T08:27:00Z,Fitbit App
2026-04-14T13:59:00Z,2026-04-14T15:29:00Z,Fitbit App
2026-04-14T15:31:00Z,2026-04-14T15:51:00Z,Fitbit App
2026-04-14T16:08:00Z,2026-04-14T16:26:00Z,Fitbit App
2026-04-14T16:47:00Z,2026-04-14T17:13:00Z,Fitbit App
2026-04-14T17:15:00Z,2026-04-14T17:37:00Z,Fitbit App
