timestamp,Infrared to Red Signal Ratio
04/13/26 04:11:00,0
04/13/26 04:12:00,-47
04/13/26 04:13:00,0
04/13/26 04:14:00,0
04/13/26 04:15:00,-30
04/13/26 04:16:00,-8
04/13/26 04:17:00,-11
04/13/26 04:18:00,-6
04/13/26 04:19:00,-2
04/13/26 04:20:00,0
04/13/26 04:21:00,8
04/13/26 04:22:00,-5
04/13/26 04:23:00,-29
04/13/26 04:24:00,-1
04/13/26 04:25:00,0
04/13/26 04:26:00,-36
04/13/26 04:27:00,-20
04/13/26 04:28:00,-12
04/13/26 04:29:00,0
04/13/26 04:30:00,-3
04/13/26 04:31:00,-2
04/13/26 04:32:00,3
04/13/26 04:33:00,1
04/13/26 04:34:00,-4
04/13/26 04:35:00,0
04/13/26 04:36:00,0
04/13/26 04:37:00,-8
04/13/26 04:38:00,-6
04/13/26 04:39:00,-9
04/13/26 04:40:00,0
04/13/26 04:41:00,-11
04/13/26 04:42:00,0
04/13/26 04:43:00,0
04/13/26 04:44:00,12
04/13/26 04:45:00,-12
04/13/26 04:46:00,0
04/13/26 04:47:00,-4
04/13/26 04:48:00,0
04/13/26 04:49:00,-14
04/13/26 04:50:00,20
04/13/26 04:51:00,-10
04/13/26 04:52:00,9
04/13/26 04:53:59,-7
04/13/26 04:54:59,-5
04/13/26 04:55:59,-2
04/13/26 04:56:59,0
04/13/26 04:57:59,0
04/13/26 04:58:59,0
04/13/26 04:59:59,0
04/13/26 05:00:59,-69
04/13/26 05:01:59,16
04/13/26 05:02:59,47
04/13/26 05:03:59,0
04/13/26 05:04:59,-30
04/13/26 05:05:59,-13
04/13/26 05:06:59,7
04/13/26 05:07:59,-36
04/13/26 05:09:00,-2
04/13/26 05:10:00,0
04/13/26 05:11:00,1
04/13/26 05:12:00,5
04/13/26 05:13:00,9
04/13/26 05:14:00,-9
04/13/26 05:15:00,-4
04/13/26 05:16:00,-17
04/13/26 05:17:00,-19
04/13/26 05:18:00,-21
04/13/26 05:19:00,-13
04/13/26 05:20:00,-21
04/13/26 05:21:00,13
04/13/26 05:22:00,0
04/13/26 05:23:00,-46
04/13/26 05:24:00,9
04/13/26 05:25:00,14
04/13/26 05:26:00,-82
04/13/26 05:27:00,52
04/13/26 05:28:00,8
04/13/26 05:29:00,0
04/13/26 05:30:00,36
04/13/26 05:31:00,34
04/13/26 05:32:00,31
04/13/26 05:33:00,56
04/13/26 05:34:00,7
04/13/26 05:35:00,-4
04/13/26 05:36:00,41
04/13/26 05:37:00,0
04/13/26 05:38:00,4
04/13/26 05:39:00,60
04/13/26 05:40:00,1
04/13/26 05:41:00,0
04/13/26 05:42:00,17
04/13/26 05:43:00,-4
04/13/26 05:44:00,-3
04/13/26 05:45:00,-2
04/13/26 05:46:00,1
04/13/26 05:47:00,-9
04/13/26 05:48:00,-4
04/13/26 05:49:00,0
04/13/26 05:50:00,17
04/13/26 05:51:00,44
04/13/26 05:52:00,2
04/13/26 05:53:00,0
04/13/26 05:54:00,1
04/13/26 05:55:00,3
04/13/26 05:56:00,3
04/13/26 05:57:00,-11
04/13/26 05:58:00,11
04/13/26 05:59:00,-36
04/13/26 06:00:00,-2
04/13/26 06:01:00,-6
04/13/26 06:02:00,0
04/13/26 06:03:00,0
04/13/26 06:04:00,16
04/13/26 06:05:00,15
04/13/26 06:06:00,-3
04/13/26 06:07:00,13
04/13/26 06:08:00,-4
04/13/26 06:09:00,6
04/13/26 06:10:00,-1
04/13/26 06:11:00,0
04/13/26 06:12:00,0
04/13/26 06:13:00,-1
04/13/26 06:14:00,-8
04/13/26 06:15:00,0
04/13/26 06:16:00,0
04/13/26 06:17:00,0
04/13/26 06:18:00,-6
04/13/26 06:19:00,0
04/13/26 06:20:00,8
04/13/26 06:21:00,0
04/13/26 06:22:00,12
04/13/26 06:23:00,0
04/13/26 06:24:00,-13
04/13/26 06:25:00,13
04/13/26 06:26:00,-6
04/13/26 06:27:00,0
04/13/26 06:28:00,0
04/13/26 06:29:00,10
04/13/26 06:30:00,-2
04/13/26 06:31:00,-5
04/13/26 06:32:00,-2
04/13/26 06:33:00,1
04/13/26 06:34:00,4
04/13/26 06:35:00,-12
04/13/26 06:36:00,-17
04/13/26 06:37:00,-4
04/13/26 06:38:00,3
04/13/26 06:39:00,0
04/13/26 06:40:01,-4
04/13/26 06:41:01,-4
04/13/26 06:42:01,0
04/13/26 06:43:01,-34
04/13/26 06:44:01,0
04/13/26 06:45:01,-21
04/13/26 06:46:01,9
04/13/26 06:47:01,0
04/13/26 06:48:01,12
04/13/26 06:49:01,-16
04/13/26 06:50:01,0
04/13/26 06:51:01,0
04/13/26 06:52:01,0
04/13/26 06:53:01,-5
04/13/26 06:54:01,3
04/13/26 06:55:00,15
04/13/26 06:56:00,-5
04/13/26 06:57:00,0
04/13/26 06:58:00,24
04/13/26 06:59:00,21
04/13/26 07:00:00,4
04/13/26 07:01:00,13
04/13/26 07:02:00,2
04/13/26 07:03:00,32
04/13/26 07:04:00,-17
04/13/26 07:05:00,0
04/13/26 07:06:00,-2
04/13/26 07:07:00,0
04/13/26 07:08:00,-2
04/13/26 07:09:00,8
04/13/26 07:10:00,0
04/13/26 07:11:00,0
04/13/26 07:12:00,21
04/13/26 07:13:00,-17
04/13/26 07:14:00,-36
04/13/26 07:15:00,0
04/13/26 07:16:00,-12
04/13/26 07:17:00,-18
04/13/26 07:18:00,-27
04/13/26 07:19:00,28
04/13/26 07:20:00,0
04/13/26 07:21:00,30
04/13/26 07:22:00,-2
04/13/26 07:23:00,0
04/13/26 07:24:00,10
04/13/26 07:25:00,-4
04/13/26 07:26:00,0
04/13/26 07:27:00,0
04/13/26 07:28:00,-33
04/13/26 07:29:00,-8
04/13/26 07:30:00,0
04/13/26 07:31:00,0
04/13/26 07:32:00,7
04/13/26 07:33:00,0
04/13/26 07:34:00,-26
04/13/26 07:35:00,-3
04/13/26 07:36:00,16
04/13/26 07:37:00,0
04/13/26 07:38:00,0
04/13/26 07:39:00,0
04/13/26 07:40:00,4
04/13/26 07:41:00,-27
04/13/26 07:42:00,17
04/13/26 07:43:00,-4
04/13/26 07:44:00,30
04/13/26 07:45:00,30
04/13/26 07:46:00,43
04/13/26 07:47:00,-2
04/13/26 07:48:00,-4
04/13/26 07:49:00,17
04/13/26 07:50:00,-2
04/13/26 07:51:00,43
04/13/26 07:52:00,11
04/13/26 07:53:00,7
04/13/26 07:54:00,32
04/13/26 07:55:00,34
04/13/26 07:56:00,2
04/13/26 07:57:00,16
04/13/26 07:58:00,0
04/13/26 07:59:00,11
04/13/26 08:00:00,14
04/13/26 08:01:00,1
04/13/26 08:02:00,0
04/13/26 08:03:00,-41
04/13/26 08:04:00,0
04/13/26 08:05:00,-7
04/13/26 08:06:00,1
04/13/26 08:07:00,0
04/13/26 08:08:00,42
04/13/26 08:09:00,0
04/13/26 08:10:00,-2
04/13/26 08:11:00,5
04/13/26 08:12:00,26
04/13/26 08:13:00,0
04/13/26 08:14:00,15
04/13/26 08:15:00,0
04/13/26 08:16:00,20
04/13/26 08:17:00,28
04/13/26 08:18:00,0
04/13/26 08:19:00,-2
04/13/26 08:20:00,-2
04/13/26 08:21:00,-44
04/13/26 08:22:00,0
04/13/26 08:23:00,-1
04/13/26 08:24:00,22
04/13/26 08:25:00,-9
