timestamp,Infrared to Red Signal Ratio
04/10/26 01:57:30,0
04/10/26 01:58:30,-62
04/10/26 01:59:30,13
04/10/26 02:00:30,8
04/10/26 02:01:30,5
04/10/26 02:02:30,-9
04/10/26 03:07:30,1
04/10/26 03:08:30,21
04/10/26 03:09:30,8
04/10/26 03:10:30,10
04/10/26 03:11:30,9
04/10/26 03:12:30,52
04/10/26 03:13:30,39
04/10/26 03:14:30,15
04/10/26 03:15:30,28
04/10/26 03:16:30,32
04/10/26 03:17:30,13
04/10/26 03:18:30,32
04/10/26 03:19:30,18
04/10/26 03:20:31,4
04/10/26 03:21:31,13
04/10/26 03:22:31,-21
04/10/26 03:23:31,34
04/10/26 03:24:31,57
04/10/26 03:25:31,19
04/10/26 03:26:31,0
04/10/26 03:27:31,14
04/10/26 03:28:31,-27
04/10/26 03:29:31,-20
04/10/26 03:30:31,2
04/10/26 03:31:31,13
04/10/26 03:32:31,4
04/10/26 03:33:31,13
04/10/26 03:34:31,-3
04/10/26 03:35:31,-15
04/10/26 03:36:31,0
04/10/26 03:37:31,0
04/10/26 03:38:31,-6
04/10/26 03:39:31,20
04/10/26 03:40:31,-17
04/10/26 03:41:31,0
04/10/26 03:42:31,-29
04/10/26 03:43:31,0
04/10/26 03:44:31,30
04/10/26 03:45:31,6
04/10/26 03:46:31,0
04/10/26 03:47:31,1
04/10/26 03:48:31,10
04/10/26 03:49:31,-56
04/10/26 03:50:31,-8
04/10/26 03:51:31,0
04/10/26 03:52:31,27
04/10/26 03:53:31,10
04/10/26 03:54:31,32
04/10/26 03:55:31,41
04/10/26 03:56:31,42
04/10/26 03:57:31,0
04/10/26 03:58:32,0
04/10/26 03:59:32,-22
04/10/26 04:00:32,11
04/10/26 04:01:32,-1
04/10/26 04:02:32,21
04/10/26 04:03:32,0
04/10/26 04:04:32,0
04/10/26 04:05:32,-1
04/10/26 04:06:32,-13
04/10/26 04:07:32,0
04/10/26 04:08:32,0
04/10/26 04:09:32,15
04/10/26 04:10:32,-1
04/10/26 04:11:32,19
04/10/26 04:12:32,21
04/10/26 04:13:32,2
04/10/26 04:14:32,0
04/10/26 04:15:32,-16
04/10/26 04:16:32,-3
04/10/26 04:17:32,0
04/10/26 04:18:32,4
04/10/26 04:19:32,11
04/10/26 04:20:32,0
04/10/26 04:21:32,10
04/10/26 04:22:32,-3
04/10/26 04:23:32,26
04/10/26 04:24:32,0
04/10/26 04:25:32,0
04/10/26 04:26:32,2
04/10/26 04:27:32,49
04/10/26 04:28:32,7
04/10/26 04:29:34,-15
04/10/26 04:30:34,-4
04/10/26 04:31:34,14
04/10/26 04:32:34,10
04/10/26 04:33:34,0
04/10/26 04:34:34,4
04/10/26 04:35:34,69
04/10/26 04:36:34,53
04/10/26 04:37:34,-4
04/10/26 04:38:34,60
04/10/26 04:39:34,1
04/10/26 04:40:34,-1
04/10/26 04:41:34,8
04/10/26 04:42:34,70
04/10/26 04:43:34,28
04/10/26 04:44:34,0
04/10/26 04:45:34,15
04/10/26 04:46:34,24
04/10/26 04:47:34,-13
04/10/26 04:48:34,0
04/10/26 04:49:34,10
04/10/26 04:50:34,27
04/10/26 04:51:34,-1
04/10/26 04:52:34,-1
04/10/26 04:53:34,-2
04/10/26 04:54:34,13
04/10/26 04:55:34,34
04/10/26 04:56:34,14
04/10/26 04:57:34,1
04/10/26 04:58:34,-12
04/10/26 04:59:34,3
04/10/26 05:00:34,0
04/10/26 05:01:36,0
04/10/26 05:02:36,0
04/10/26 05:03:36,-6
04/10/26 05:04:36,17
04/10/26 05:05:36,0
04/10/26 05:06:36,0
04/10/26 05:07:36,-5
04/10/26 05:08:36,8
04/10/26 05:09:36,7
04/10/26 05:10:36,7
04/10/26 05:11:36,-1
04/10/26 05:12:36,53
04/10/26 05:13:36,1
04/10/26 05:14:36,0
04/10/26 05:15:36,78
04/10/26 05:16:36,-4
04/10/26 05:17:36,0
04/10/26 05:18:36,-17
04/10/26 05:19:36,12
04/10/26 05:20:36,12
04/10/26 05:21:36,-8
04/10/26 05:22:36,0
04/10/26 05:23:36,21
04/10/26 05:24:36,0
04/10/26 05:25:36,0
04/10/26 05:26:36,18
04/10/26 05:27:36,30
04/10/26 05:28:36,18
04/10/26 05:29:36,0
04/10/26 05:30:36,-4
04/10/26 05:31:36,2
04/10/26 05:32:36,0
04/10/26 05:33:36,21
04/10/26 05:34:37,0
04/10/26 05:35:37,13
04/10/26 05:36:37,13
04/10/26 05:37:37,2
04/10/26 05:38:37,0
04/10/26 05:39:37,-4
04/10/26 05:40:37,19
04/10/26 05:41:37,59
04/10/26 05:42:37,40
04/10/26 05:43:37,44
04/10/26 05:44:37,0
04/10/26 05:45:37,71
04/10/26 05:46:37,60
04/10/26 05:47:37,0
04/10/26 05:48:37,17
04/10/26 05:49:37,73
04/10/26 05:50:37,27
04/10/26 05:51:37,-8
04/10/26 05:52:37,1
04/10/26 05:53:37,60
04/10/26 05:54:37,16
04/10/26 05:55:37,45
04/10/26 05:56:37,-4
04/10/26 05:57:37,17
04/10/26 05:58:37,5
04/10/26 05:59:37,18
04/10/26 06:00:37,3
04/10/26 06:01:37,0
04/10/26 06:02:37,19
04/10/26 06:03:37,56
04/10/26 06:04:37,0
04/10/26 06:05:37,0
04/10/26 06:06:38,21
04/10/26 06:07:38,7
04/10/26 06:08:38,15
04/10/26 06:09:38,0
04/10/26 06:10:38,-1
04/10/26 06:11:38,2
04/10/26 06:12:38,-11
04/10/26 06:13:38,23
04/10/26 06:14:38,5
04/10/26 06:15:38,13
04/10/26 06:16:38,36
04/10/26 06:17:38,12
04/10/26 06:18:38,-9
04/10/26 06:19:38,2
04/10/26 06:20:38,0
04/10/26 06:21:38,8
04/10/26 06:22:38,0
04/10/26 06:23:38,33
04/10/26 06:24:38,68
04/10/26 06:25:38,55
04/10/26 06:26:38,-25
04/10/26 06:27:38,-1
04/10/26 06:28:38,-30
04/10/26 06:29:38,4
04/10/26 06:30:38,23
04/10/26 06:31:38,17
04/10/26 06:32:38,43
04/10/26 06:33:38,6
04/10/26 06:34:38,13
04/10/26 06:35:38,-12
04/10/26 06:36:38,50
04/10/26 06:37:38,29
04/10/26 06:38:39,1
04/10/26 06:39:39,0
04/10/26 06:40:39,-12
04/10/26 06:41:39,3
04/10/26 06:42:39,26
04/10/26 06:43:39,74
04/10/26 06:44:39,60
04/10/26 06:45:39,4
04/10/26 06:46:39,0
04/10/26 06:47:39,52
04/10/26 06:48:39,24
04/10/26 06:49:39,73
04/10/26 06:50:39,34
04/10/26 06:51:39,16
04/10/26 06:52:39,74
04/10/26 06:53:39,42
04/10/26 06:54:39,59
04/10/26 06:55:39,68
04/10/26 06:56:39,-4
04/10/26 06:57:39,38
04/10/26 06:58:39,60
04/10/26 06:59:39,12
04/10/26 07:00:39,47
04/10/26 07:01:39,8
04/10/26 07:02:39,17
04/10/26 07:03:39,0
04/10/26 07:04:39,13
04/10/26 07:05:39,30
04/10/26 07:06:39,33
04/10/26 07:07:39,54
04/10/26 07:08:39,50
04/10/26 07:09:40,20
04/10/26 07:10:40,0
04/10/26 07:11:40,26
04/10/26 07:12:40,0
04/10/26 07:13:40,-68
04/10/26 07:14:40,0
04/10/26 07:15:40,9
04/10/26 07:16:40,14
04/10/26 07:17:40,-8
04/10/26 07:18:40,19
04/10/26 07:19:40,6
04/10/26 07:20:40,16
04/10/26 07:21:40,-28
04/10/26 07:22:40,0
04/10/26 07:23:40,0
04/10/26 07:24:40,-9
04/10/26 07:25:40,-8
04/10/26 07:26:40,0
04/10/26 07:27:40,-1
04/10/26 07:28:40,20
04/10/26 07:29:40,13
04/10/26 07:30:40,39
04/10/26 07:31:40,26
04/10/26 07:32:40,-21
04/10/26 07:33:40,7
04/10/26 07:34:40,14
04/10/26 07:35:40,0
04/10/26 07:36:40,1
04/10/26 07:37:40,-42
04/10/26 07:38:40,2
04/10/26 07:39:40,20
04/10/26 07:40:40,21
04/10/26 07:41:41,42
04/10/26 07:42:41,14
04/10/26 07:43:41,4
04/10/26 07:44:41,43
04/10/26 07:45:41,-1
04/10/26 07:46:41,19
04/10/26 07:47:41,15
04/10/26 07:48:41,13
04/10/26 07:49:41,15
04/10/26 07:50:41,88
04/10/26 07:51:41,4
04/10/26 07:52:41,86
04/10/26 07:53:41,48
04/10/26 07:54:41,23
04/10/26 07:55:41,-4
