timestamp,Infrared to Red Signal Ratio
04/08/26 03:15:30,-6
04/08/26 03:16:30,0
04/08/26 03:17:30,-65
04/08/26 03:18:30,-6
04/08/26 03:19:30,0
04/08/26 03:20:30,0
04/08/26 03:21:30,-8
04/08/26 03:22:30,0
04/08/26 03:23:30,-30
04/08/26 03:24:30,-4
04/08/26 03:25:30,-8
04/08/26 03:26:30,-2
04/08/26 03:27:30,1
04/08/26 03:28:30,0
04/08/26 03:29:30,-1
04/08/26 03:30:30,-26
04/08/26 03:31:30,8
04/08/26 03:32:31,-12
04/08/26 03:33:31,0
04/08/26 03:34:31,31
04/08/26 03:35:31,-21
04/08/26 03:36:31,-8
04/08/26 03:37:31,-13
04/08/26 03:38:31,38
04/08/26 03:39:31,2
04/08/26 03:40:31,-20
04/08/26 03:41:31,0
04/08/26 03:42:31,-1
04/08/26 03:43:31,4
04/08/26 03:44:31,78
04/08/26 03:45:31,-8
04/08/26 03:46:31,-73
04/08/26 03:47:31,-1
04/08/26 03:48:31,17
04/08/26 03:49:31,-6
04/08/26 03:50:31,-42
04/08/26 03:51:31,8
04/08/26 03:52:31,-19
04/08/26 03:53:31,0
04/08/26 03:54:31,6
04/08/26 03:55:31,4
04/08/26 03:56:31,5
04/08/26 03:57:31,1
04/08/26 03:58:31,-5
04/08/26 03:59:31,21
04/08/26 04:00:31,2
04/08/26 04:01:31,-5
04/08/26 04:02:31,2
04/08/26 04:03:32,4
04/08/26 04:56:00,0
04/08/26 04:57:00,-3
04/08/26 04:58:00,-20
04/08/26 04:59:00,-12
04/08/26 05:00:01,-26
04/08/26 05:01:01,6
04/08/26 05:02:01,-3
04/08/26 05:03:01,16
04/08/26 05:04:01,-6
04/08/26 05:05:01,-23
04/08/26 05:06:01,2
04/08/26 05:07:01,-21
04/08/26 05:08:01,0
04/08/26 05:09:01,-51
04/08/26 05:10:01,-8
04/08/26 05:11:01,3
04/08/26 05:12:01,0
04/08/26 05:13:01,0
04/08/26 05:14:01,22
04/08/26 05:15:01,-30
04/08/26 05:16:01,-21
04/08/26 05:17:01,-13
04/08/26 05:18:01,-17
04/08/26 05:19:01,0
04/08/26 05:20:01,0
04/08/26 05:21:01,-4
04/08/26 05:22:01,-14
04/08/26 05:23:01,-22
04/08/26 05:24:01,0
04/08/26 05:25:01,2
04/08/26 05:26:01,-11
04/08/26 05:27:01,9
04/08/26 05:28:01,-59
04/08/26 05:29:01,-43
04/08/26 05:30:01,2
04/08/26 05:31:01,0
04/08/26 05:32:01,-13
04/08/26 05:33:01,-60
04/08/26 05:34:01,-2
04/08/26 05:35:01,-45
04/08/26 05:36:01,-20
04/08/26 05:37:01,-12
04/08/26 05:38:01,-8
04/08/26 05:39:01,0
04/08/26 05:40:01,-39
04/08/26 05:41:01,-28
04/08/26 05:42:01,-27
04/08/26 05:43:01,26
04/08/26 05:44:01,0
04/08/26 05:45:01,-44
04/08/26 05:46:01,-4
04/08/26 05:47:01,13
04/08/26 05:48:01,39
04/08/26 05:49:01,0
04/08/26 05:50:01,23
04/08/26 05:51:01,12
04/08/26 05:52:01,0
04/08/26 05:53:01,21
04/08/26 05:54:01,1
04/08/26 05:55:01,0
04/08/26 05:56:01,49
04/08/26 05:57:01,6
04/08/26 05:58:01,47
04/08/26 05:59:01,-12
04/08/26 06:00:01,-3
04/08/26 06:01:01,-1
04/08/26 06:02:02,-34
04/08/26 06:03:02,0
04/08/26 06:04:02,46
04/08/26 06:05:02,9
04/08/26 06:06:02,2
04/08/26 06:07:02,40
04/08/26 06:08:02,-5
