feature,remaining_days,calibration_start_date,latest_completion_date,latest_update_date
FEATURE_TYPE_CARDIO_LOAD,0,2026-04-05,2026-04-12,2026-04-13
FEATURE_TYPE_READINESS,0,2026-04-06,2026-04-13,2026-04-13
