value_time,setting_name,setting_value
2026-03-19 18:21:01+0000,is child,false
2026-03-19 18:21:01+0000,sex,female
2026-03-19 18:21:01+0000,timezone,America/New_York
2026-03-19 18:36:15+0000,locale,en_US
