value_time,setting_name,setting_value
2026-03-19 18:21:01+0000,glucose measurement unit,mmol l
2026-03-19 18:21:01+0000,height system,us
2026-03-19 18:21:01+0000,water measurement unit,ml
2026-03-19 18:21:01+0000,weight system,us
2026-03-19 18:36:15+0000,body temperature measurement unit,metric
2026-03-19 18:36:21+0000,pool length,25
2026-03-19 18:36:21+0000,pool length measurement unit,meter
