timestamp,rmssd,coverage,low_frequency,high_frequency
2026-04-08T04:35:00,21.625,0.805,203.514,67.693
2026-04-08T04:40:00,26.509,0.935,264.058,137.161
2026-04-08T04:45:00,31.809,0.9,901.992,208.608
2026-04-08T04:50:00,39.808,0.998,289.494,374.664
2026-04-08T04:55:00,43.443,0.981,441.971,613.466
2026-04-08T05:00:00,42.874,1.003,572.846,562.901
2026-04-08T05:05:00,38.123,1.003,507.19,399.762
2026-04-08T05:10:00,40.336,1.002,481.391,432.174
2026-04-08T05:15:00,36.681,1.003,484.853,356.935
2026-04-08T05:20:00,36.793,0.966,734.78,336.42
2026-04-08T05:25:00,30.992,0.988,1064.848,275.627
2026-04-08T05:30:00,18.712,1.002,515.255,81.305
2026-04-08T05:35:00,20.868,0.976,841.682,100.769
2026-04-08T05:40:00,23.486,1.003,735.196,144.138
2026-04-08T05:45:00,22.505,0.944,374.924,139.951
2026-04-08T05:50:00,26.551,0.979,465.544,228.957
2026-04-08T05:55:00,23.628,1.002,414.069,155.533
2026-04-08T06:00:00,24.028,1.001,296.788,157.224
2026-04-08T06:05:00,25.303,1.005,279.446,169.729
2026-04-08T06:10:00,25.936,1.003,401.202,180.533
2026-04-08T06:15:00,29.582,0.965,1565.346,231.673
2026-04-08T06:20:00,25.969,0.993,364.868,184.352
2026-04-08T06:25:00,27.301,1.003,455.497,176.269
2026-04-08T06:30:00,26.421,1.003,679.904,202.133
2026-04-08T06:35:00,22.468,1.001,409.534,131.299
2026-04-08T06:40:00,25.999,1.004,334.256,187.891
2026-04-08T06:45:00,24.599,0.957,775.72,171.081
2026-04-08T06:50:00,30.683,0.997,1460.506,162.418
2026-04-08T06:55:00,23.311,0.997,1449.254,141.987
2026-04-08T07:00:00,19.148,0.978,405.289,52.634
2026-04-08T07:05:00,18.99,1.003,370.854,68.692
2026-04-08T07:10:00,20.435,0.99,818.251,138.247
2026-04-08T07:15:00,27.98,0.987,811.479,195.722
2026-04-08T07:20:00,28.301,0.989,849.1,216.771
2026-04-08T07:25:00,27.849,0.995,250.272,220.36
2026-04-08T07:30:00,25.363,0.992,533.568,167.438
2026-04-08T07:35:00,28.366,1.003,369.565,208.787
2026-04-08T07:40:00,26.746,1.005,414.781,177.554
2026-04-08T07:45:00,30.929,1.002,488.787,192.696
2026-04-08T07:50:00,28.546,0.982,549.749,219.728
2026-04-08T07:55:00,33.834,1.002,613.886,213.925
2026-04-08T08:00:00,31.322,0.997,714.033,257.543
2026-04-08T08:05:00,31.029,1.004,511.133,211.244
2026-04-08T08:10:00,32.138,0.996,766.196,240.861
2026-04-08T08:15:00,35.354,0.999,950.298,354.783
2026-04-08T08:20:00,44.529,0.971,2716.113,494.074
2026-04-08T08:25:00,32.51,0.989,1703.719,184.789
2026-04-08T08:30:00,27.538,1.003,1381.644,173.998
2026-04-08T08:35:00,38.466,0.959,789.054,360.551
2026-04-08T08:40:00,27.529,0.957,2239.923,143.931
2026-04-08T08:45:00,21.484,0.996,716.541,79.601
2026-04-08T08:50:00,39.758,0.945,712.974,335.546
2026-04-08T08:55:00,26.373,0.976,485.487,174.025
2026-04-08T09:00:00,31.652,0.949,905.599,249.328
2026-04-08T09:05:00,37.04,1.004,824.271,382.192
2026-04-08T09:10:00,33.239,0.992,842.488,285.1
2026-04-08T09:15:00,33.082,0.996,758.977,255.037
2026-04-08T09:20:00,30.584,1.003,440.14,206.049
2026-04-08T09:25:00,33.78,0.996,659.939,319.101
2026-04-08T09:30:00,29.848,1.004,701.116,214.821
2026-04-08T09:35:00,35.898,0.912,3691.413,215.945
2026-04-08T09:40:00,34.998,0.956,1069.713,338.274
2026-04-08T09:45:00,34.846,0.983,1624.819,321.805
2026-04-08T09:50:00,30.5,1.004,852.322,282.752
2026-04-08T09:55:00,42.889,1.005,1643.663,442.718
2026-04-08T10:00:00,39.906,0.988,1386.272,471.223
2026-04-08T10:05:00,41.415,1.004,2530.55,338.596
2026-04-08T10:10:00,37.168,1.002,1008.436,436.019
2026-04-08T10:15:00,32.932,1.004,941.377,306.857
2026-04-08T10:20:00,20.545,0.988,469.725,78.336
2026-04-08T10:25:00,18.596,0.935,605.86,84.265
2026-04-08T10:30:00,22.667,1.003,823.858,126.754
2026-04-08T10:35:00,26.664,0.949,1456.817,306.774
2026-04-08T10:40:00,26.94,0.99,876.919,148.141
2026-04-08T10:45:00,23.504,0.949,1002.955,134.888
2026-04-08T10:50:00,23.035,1.003,991.587,117.309
2026-04-08T10:55:00,19.036,0.993,294.236,69.858
2026-04-08T11:00:00,18.441,1.003,334.122,86.669
2026-04-08T11:05:00,19.558,1.003,273.87,103.147
2026-04-08T11:10:00,21.561,1.004,657.708,123.213
