timestamp,rmssd,coverage,low_frequency,high_frequency
2026-04-11T01:05:00,22.986,0.841,484.641,105.644
2026-04-11T01:10:00,18.732,0.897,526.604,85.33
2026-04-11T01:15:00,20.935,0.987,310.047,138.521
2026-04-11T01:20:00,21.511,0.953,169.442,153.271
2026-04-11T01:25:00,19.837,1.002,298.341,130.845
2026-04-11T01:30:00,16.699,1.002,223.706,99.251
2026-04-11T01:35:00,16.572,1.003,123.215,91.197
2026-04-11T01:40:00,16.317,1.002,117.523,100.02
2026-04-11T01:45:00,16.612,0.995,305.812,87.738
2026-04-11T01:50:00,15.544,1.003,236.832,89.45
2026-04-11T01:55:00,15.143,1.002,218.976,78.666
2026-04-11T02:00:00,13.695,1.001,164.202,70.159
2026-04-11T02:05:00,14.649,0.927,584.828,55.135
2026-04-11T02:10:00,14.187,0.973,233.99,41.744
2026-04-11T02:15:00,12.175,0.974,416.598,41.775
2026-04-11T02:20:00,12.871,0.99,574.13,39.058
2026-04-11T02:25:00,14.747,0.981,298.524,55.142
2026-04-11T02:30:00,15.999,1.001,167.409,71.929
2026-04-11T02:35:00,14.157,1.002,207.131,62.361
2026-04-11T02:40:00,13.878,1.002,191.08,53.343
2026-04-11T02:45:00,12.118,1.004,221.596,41.898
2026-04-11T02:50:00,12.568,0.995,241.851,45.763
2026-04-11T02:55:00,14.12,1.004,250.089,53.331
2026-04-11T03:00:00,16.859,0.966,688.949,73.845
2026-04-11T03:05:00,14.165,1.0,471.711,58.413
2026-04-11T03:10:00,13.893,1.003,304.55,47.92
2026-04-11T03:15:00,15.806,0.948,403.286,51.448
2026-04-11T03:20:00,18.499,0.976,386.478,103.207
2026-04-11T03:25:00,17.322,0.943,666.84,65.926
2026-04-11T03:30:00,17.52,1.002,1440.98,76.877
2026-04-11T03:35:00,16.276,0.99,587.256,49.477
2026-04-11T03:40:00,16.311,0.989,682.2,46.415
2026-04-11T03:45:00,19.324,0.987,1389.467,69.821
2026-04-11T03:50:00,17.711,0.978,2008.847,155.98
2026-04-11T03:55:00,18.821,0.982,1130.426,75.974
2026-04-11T04:00:00,19.314,1.002,232.864,91.866
2026-04-11T04:05:00,15.591,1.001,110.573,39.792
2026-04-11T04:10:00,16.883,1.003,348.488,52.199
2026-04-11T04:15:00,21.319,0.988,1599.259,101.026
2026-04-11T04:20:00,17.508,0.961,504.882,80.027
2026-04-11T04:25:00,14.266,1.004,205.727,40.447
