timestamp,rmssd,coverage,low_frequency,high_frequency
2026-04-06T04:20:00,34.577,0.905,389.072,304.695
2026-04-06T04:25:00,36.528,0.863,397.352,225.973
2026-04-06T04:30:00,45.111,0.889,677.261,343.122
2026-04-06T04:35:00,35.78,0.961,1177.808,257.668
2026-04-06T04:40:00,41.825,0.923,553.959,430.649
2026-04-06T04:45:00,36.017,0.913,661.007,305.267
2026-04-06T04:50:00,33.571,0.964,577.963,252.477
2026-04-06T04:55:00,37.121,0.996,871.12,394.831
2026-04-06T05:00:00,36.125,0.98,409.28,320.105
2026-04-06T05:05:00,30.356,1.001,835.658,185.109
2026-04-06T05:10:00,23.729,0.984,1642.341,133.278
2026-04-06T05:15:00,25.008,0.931,1437.27,117.376
2026-04-06T05:20:00,24.053,0.964,419.817,109.852
2026-04-06T05:25:00,17.074,0.98,373.908,45.71
2026-04-06T05:30:00,15.068,0.975,360.158,44.447
2026-04-06T05:35:00,15.415,0.976,442.045,47.465
2026-04-06T05:40:00,22.453,0.972,1096.897,137.37
2026-04-06T05:45:00,22.416,0.989,601.949,138.198
2026-04-06T05:50:00,21.787,1.001,239.514,134.052
2026-04-06T05:55:00,20.233,0.979,829.492,123.338
2026-04-06T06:00:00,25.825,0.99,626.732,164.921
2026-04-06T06:05:00,21.477,1.002,300.624,111.176
2026-04-06T06:10:00,23.789,1.0,281.644,159.149
2026-04-06T06:15:00,23.225,1.004,447.18,136.382
2026-04-06T06:20:00,25.37,1.001,532.821,163.167
2026-04-06T06:25:00,24.709,0.997,576.878,151.825
2026-04-06T06:30:00,26.933,0.973,1165.067,161.609
2026-04-06T06:35:00,24.119,1.003,227.001,117.426
2026-04-06T06:40:00,28.9,1.001,636.364,200.361
2026-04-06T06:45:00,25.252,1.002,395.189,109.073
2026-04-06T06:50:00,24.014,1.003,286.027,133.474
2026-04-06T06:55:00,27.082,0.981,444.324,160.395
2026-04-06T07:00:00,28.26,0.972,1381.72,202.337
2026-04-06T07:05:00,28.124,1.002,1935.704,166.004
2026-04-06T07:10:00,31.5,0.976,752.371,178.622
2026-04-06T07:15:00,37.363,0.895,2045.846,166.616
2026-04-06T07:20:00,28.391,0.935,706.376,221.126
2026-04-06T07:25:00,39.365,0.957,1028.856,296.091
2026-04-06T07:30:00,26.75,1.004,944.866,190.59
2026-04-06T07:35:00,27.598,1.002,857.336,199.702
2026-04-06T07:40:00,31.257,1.001,447.131,228.002
2026-04-06T07:45:00,35.713,0.979,1258.26,325.399
2026-04-06T07:50:00,30.991,1.005,541.954,186.658
2026-04-06T07:55:00,31.936,1.001,780.126,198.55
2026-04-06T08:00:00,37.463,0.982,825.558,361.581
2026-04-06T08:05:00,34.197,0.985,1018.152,198.037
2026-04-06T08:10:00,35.237,0.997,1139.937,254.639
2026-04-06T08:15:00,35.189,0.991,1402.104,223.823
2026-04-06T08:20:00,26.486,0.967,661.88,128.797
2026-04-06T08:25:00,36.355,1.0,507.744,187.418
2026-04-06T08:30:00,20.632,0.968,346.229,49.944
2026-04-06T08:35:00,24.816,0.919,1698.511,121.4
2026-04-06T08:40:00,33.74,0.994,753.828,344.543
2026-04-06T08:45:00,38.707,0.997,1229.254,276.956
2026-04-06T08:50:00,29.843,0.957,1345.643,270.118
2026-04-06T08:55:00,35.788,0.975,1009.608,261.694
2026-04-06T09:00:00,30.041,0.936,1488.813,272.727
2026-04-06T09:05:00,29.118,1.003,921.937,178.964
2026-04-06T09:10:00,31.792,0.979,819.291,227.225
