timestamp,value
2026-04-06T08:44:03Z,88.5
2026-04-06T08:45:03Z,88.8
2026-04-06T08:46:03Z,88.8
2026-04-06T08:47:03Z,88.8
2026-04-06T08:48:03Z,88.9
2026-04-06T08:50:03Z,90.2
2026-04-06T08:51:03Z,89.9
2026-04-06T08:52:03Z,89.7
2026-04-06T08:53:03Z,89.7
2026-04-06T08:54:03Z,89.7
2026-04-06T08:55:03Z,89.7
2026-04-06T08:56:03Z,89.9
2026-04-06T08:57:03Z,89.9
2026-04-06T08:58:03Z,89.9
2026-04-06T08:59:03Z,90.1
2026-04-06T09:00:03Z,90.5
2026-04-06T09:01:03Z,90.4
2026-04-06T09:02:03Z,90.6
2026-04-06T09:03:03Z,90.6
2026-04-06T09:04:03Z,50.0
2026-04-06T09:05:03Z,92.3
2026-04-06T09:06:03Z,93.6
2026-04-06T09:07:03Z,94.3
2026-04-06T09:08:03Z,94.8
2026-04-06T09:09:03Z,95.1
2026-04-06T09:10:03Z,95.4
2026-04-06T09:11:03Z,50.0
2026-04-06T09:12:03Z,94.5
2026-04-06T09:13:03Z,93.1
2026-04-06T09:14:03Z,92.4
2026-04-06T09:15:03Z,91.8
2026-04-06T09:16:03Z,50.0
2026-04-06T09:17:03Z,50.0
2026-04-06T09:18:03Z,50.0
2026-04-06T09:19:03Z,92.1
2026-04-06T09:20:03Z,92.4
2026-04-06T09:21:03Z,92.3
2026-04-06T09:22:03Z,92.6
2026-04-06T09:23:03Z,92.5
2026-04-06T09:24:03Z,91.7
2026-04-06T09:25:03Z,92.2
2026-04-06T09:26:03Z,92.1
2026-04-06T09:27:03Z,91.4
2026-04-06T09:28:03Z,91.4
2026-04-06T09:29:03Z,91.6
2026-04-06T09:30:03Z,91.2
2026-04-06T09:31:03Z,91.7
2026-04-06T09:32:03Z,90.9
2026-04-06T09:33:03Z,91.1
2026-04-06T09:34:03Z,90.5
2026-04-06T09:35:03Z,89.8
2026-04-06T09:36:03Z,89.5
2026-04-06T09:37:03Z,89.5
2026-04-06T09:38:03Z,91.1
2026-04-06T09:39:03Z,92.1
2026-04-06T09:40:03Z,91.8
2026-04-06T09:41:03Z,92.2
2026-04-06T09:42:03Z,92.5
2026-04-06T09:43:03Z,91.4
2026-04-06T09:44:03Z,91.0
