sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
52257076264,2026-04-14T09:30:00Z,75,,75,,77,74,0.051194539249146756
52248398646,2026-04-13T09:11:30Z,73,,73,,61,75,0.080370942812983
52231415327,2026-04-11T09:19:30Z,78,,78,,87,73,0.08257804632426989
52231415325,2026-04-10T08:13:30Z,72,,72,,48,73,0.07585139318885449
52231415323,2026-04-09T09:26:30Z,78,,78,,46,73,0.10218140068886337
52204325468,2026-04-08T11:20:30Z,78,,78,,83,71,0.05889570552147239
